codigo_ine,municipio,provincia,comunidad_autonoma,municipio_nombre_humano,linea_costa_provincia,linea_montana_provincia,poblacion,superficie,densidad_poblacion
33003,Amieva,Asturias,Principado de Asturias,Amieva,1,1,616,114.98,5.36
32002,Amoeiro,Ourense,Galicia,Amoeiro,2,2,2333,39.68,58.8
48003,Amorebieta-Etxano,Bizkaia,País Vasco,Amorebieta-Etxano,1,2,19576,58.84,332.7
48004,Amoroto,Bizkaia,País Vasco,Amoroto,1,2,414,13.1,31.6
43906,Ampolla (L'),Tarragona,Cataluña,L' Ampolla,1,2,3444,35.57,96.82
43014,Amposta,Tarragona,Cataluña,Amposta,1,2,21317,138.56,153.85
34010,Ampudia,Palencia,Castilla y León,Ampudia,2,2,600,133.17,4.51
39002,Ampuero,Cantabria,Cantabria,Ampuero,1,1,4368,32.47,134.54
01002,Amurrio,Álava,País Vasco,Amurrio,2,2,10307,96.3,107.03
34011,Amusco,Palencia,Castilla y León,Amusco,2,2,414,78.86,5.25
47009,Amusquillo,Valladolid,Castilla y León,Amusquillo,3,0,100,15.91,6.29
44024,Anadón,Teruel,Aragón,Anadón,2,1,32,24.62,1.3
40017,Anaya,Segovia,Castilla y León,Anaya,3,1,122,15.19,8.03
37029,Anaya de Alba,Salamanca,Castilla y León,Anaya de Alba,0,2,188,37.04,5.08
28012,Anchuelo,Madrid,Comunidad de Madrid,Anchuelo,3,2,1359,21.55,63.07
13017,Anchuras,Ciudad Real,Castilla-La Mancha,Anchuras,3,2,274,231.05,1.19
31014,Ancín/Antzin,Navarra,Comunidad Foral de Navarra,Ancín/Antzin,2,2,330,9.48,34.82
49009,Andavías,Zamora,Castilla y León,Andavías,3,2,449,23.14,19.4
46038,Andilla,Valencia,Comunidad Valenciana,Andilla,1,0,315,142.58,2.21
20009,Andoain,Gipuzkoa,País Vasco,Andoain,1,2,14631,27.17,538.48
44025,Andorra,Teruel,Aragón,Andorra,2,1,7327,141.36,51.83
