municipio,provincia,municipio_nombre_humano,lat,lon,sitios_comercio,sitios_turismo,sitios_alojamiento,sitios_ocio,sitios_natural,sitios_servicio,sitios_actividad,sitios_entretenimiento,sitios_catering,sitios_sport,sitios_edificio,sitios_acceso_limitado,sitios_artificial,sitios_acceso,sitios_sin_acceso,sitios_patrimonio,sitios_carretera,sitios_cuota,sitios_comodidad
Pozohondo,Albacete,Pozohondo,38.719396,-1.910827,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pozo-Lorente,Albacete,Pozo-Lorente,39.076172,-1.506999,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Pozuelo,Albacete,Pozuelo,38.80989,-2.10101,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Recueja (La),Albacete,La Recueja,39.18333,-1.48333,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riópar,Albacete,Riópar,38.498214,-2.417356,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Robledo,Albacete,Robledo,38.772166,-2.429938,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Roda (La),Albacete,La Roda,39.205464,-2.159211,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0
Salobre,Albacete,Salobre,38.59297,-2.55038,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
San Pedro,Albacete,San Pedro,38.826557,-2.186231,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Socovos,Albacete,Socovos,38.333014,-1.985622,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Tarazona de la Mancha,Albacete,Tarazona de la Mancha,39.263047,-1.913329,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
Tobarra,Albacete,Tobarra,38.592141,-1.690738,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valdeganga,Albacete,Valdeganga,39.134507,-1.677173,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Vianos,Albacete,Vianos,38.63316,-2.50045,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Villa de Ves,Albacete,Villa de Ves,39.2,-1.23333,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villalgordo del Júcar,Albacete,Villalgordo del Júcar,39.296005,-2.062247,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Villamalea,Albacete,Villamalea,39.361525,-1.59769,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Villapalacios,Albacete,Villapalacios,38.578937,-2.632598,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Villarrobledo,Albacete,Villarrobledo,39.267868,-2.601427,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Villatoya,Albacete,Villatoya,39.319141,-1.331182,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Villavaliente,Albacete,Villavaliente,39.12646,-1.45712,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Villaverde de Guadalimar,Albacete,Villaverde de Guadalimar,38.45525,-2.51782,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Viveros,Albacete,Viveros,38.771487,-2.57414,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Yeste,Albacete,Yeste,38.367359,-2.319032,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agost,Alicante,Agost,38.435937,-0.638589,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Agres,Alicante,Agres,38.78333,-0.51667,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Aigües,Alicante,Aigües,38.501351,-0.364025,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Albatera,Alicante,Albatera,38.180289,-0.872395,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alcalalí,Alicante,Alcalalí,38.754724,-0.043421,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alcocer de Planes,Alicante,Alcocer de Planes,38.79501,-0.40244,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0
Alcoleja,Alicante,Alcoleja,38.66992,-0.32382,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,38.701616,-0.476523,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
Alfafara,Alicante,Alfafara,38.77339,-0.55551,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alfàs del Pi (L'),Alicante,L' Alfàs del Pi,38.566318,-0.104676,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Algorfa,Alicante,Algorfa,38.084582,-0.796363,3,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
Algueña,Alicante,Algueña,38.339218,-1.002629,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
Alicante/Alacant,Alicante,Alicante/Alacant,38.360892,-0.486281,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
Almoradí,Alicante,Almoradí,38.110237,-0.792414,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
Almudaina,Alicante,Almudaina,38.75999,-0.35149,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Alqueria d'Asnar (L'),Alicante,L' Alqueria d'Asnar,38.360892,-0.486281,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
Altea,Alicante,Altea,38.596675,-0.055608,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aspe,Alicante,Aspe,38.343766,-0.766951,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Atzúbia (L'),Alicante,L' Atzúbia,38.338892,-0.509477,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0
Balones,Alicante,Balones,38.73726,-0.34324,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0
Banyeres de Mariola,Alicante,Banyeres de Mariola,38.715255,-0.660488,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Benasau,Alicante,Benasau,38.69047,-0.34278,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Beneixama,Alicante,Beneixama,38.701806,-0.765858,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Benejúzar,Alicante,Benejúzar,38.076894,-0.838707,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
Benferri,Alicante,Benferri,38.144565,-0.963573,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Beniarbeig,Alicante,Beniarbeig,38.822288,-0.006177,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0
Beniardá,Alicante,Beniardá,38.68433,-0.21629,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Beniarrés,Alicante,Beniarrés,38.820507,-0.378199,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Benidoleig,Alicante,Benidoleig,38.7919,-0.03162,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0
Benidorm,Alicante,Benidorm,38.542305,-0.127103,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0
Benifallim,Alicante,Benifallim,38.66259,-0.39994,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Benifato,Alicante,Benifato,38.67395,-0.2292,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0
Benigembla,Alicante,Benigembla,38.75494,-0.10903,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Benijófar,Alicante,Benijófar,38.062653,-0.745904,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Benilloba,Alicante,Benilloba,38.70012,-0.38998,0,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0
Benillup,Alicante,Benillup,38.75398,-0.37991,0,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Benimantell,Alicante,Benimantell,38.67709,-0.21057,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0
Benimarfull,Alicante,Benimarfull,38.7759,-0.39079,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Benimassot,Alicante,Benimassot,38.75,-0.28333,0,0,0,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0
Benimeli,Alicante,Benimeli,38.82362,-0.04221,0,0,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
Benissa,Alicante,Benissa,38.715345,0.051209,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Benitachell/Poble Nou de Benitatxell (el),Alicante,El Benitachell/Poble Nou de Benitatxell,38.724094,0.150938,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Biar,Alicante,Biar,38.62662,-0.7623,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bigastro,Alicante,Bigastro,38.06162,-0.894344,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
Bolulla,Alicante,Bolulla,38.67529,-0.11184,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0
Busot,Alicante,Busot,38.464904,-0.432603,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
Callosa de Segura,Alicante,Callosa de Segura,38.126098,-0.875694,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Callosa d'en Sarrià,Alicante,Callosa d'en Sarrià,38.64888,-0.123885,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Calp,Alicante,Calp,38.658408,0.05646,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
Campello (el),Alicante,El Campello,38.428712,-0.400416,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
Campo de Mirra/Camp de Mirra (el),Alicante,El Campo de Mirra/Camp de Mirra,38.70001,-0.79462,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Cañada,Alicante,Cañada,38.39711,-0.5831,0,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Castalla,Alicante,Castalla,38.599887,-0.667946,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
