municipio,provincia,codigo_INE,cobertura_30,cobertura_100,cobertura_3g,cobertura_4g
Ajamil de Cameros,La Rioja,26004,66.67,0.0,100.0,61.33
Ajangiz,Bizkaia,48911,100.0,78.5,100.0,100.0
Ajofrín,Toledo,45001,100.0,100.0,100.0,100.0
Alacón,Teruel,44006,0.0,0.0,99.0,99.0
Aladrén,Zaragoza,50007,95.0,0.0,100.0,44.0
Alaejos,Valladolid,47004,100.0,93.0,100.0,100.0
Alagón,Zaragoza,50008,100.0,100.0,100.0,100.0
Alagón del Río,Cáceres,10903,98.0,0.0,100.0,100.0
Alaior,Illes Balears,7002,90.0,87.38,100.0,100.0
Alájar,Huelva,21001,11.43,0.0,92.43,98.86
Alajeró,Santa Cruz de Tenerife,38003,29.78,19.56,99.89,99.56
Alameda,Málaga,29001,95.0,95.0,100.0,100.0
Alameda de Gardón (La),Salamanca,37005,0.0,0.0,95.0,97.0
Alameda de la Sagra,Toledo,45002,98.0,83.0,100.0,100.0
Alameda del Valle,Madrid,28003,100.0,100.0,100.0,100.0
Alamedilla,Granada,18002,31.6,18.4,97.4,98.6
Alamedilla (La),Salamanca,37006,0.0,0.0,100.0,99.0
Alamillo,Ciudad Real,13003,49.0,0.0,97.0,99.0
Alaminos,Guadalajara,19004,100.0,0.0,100.0,100.0
Álamo (El),Madrid,28004,79.0,50.0,100.0,100.0
Alamús (Els),Lleida,25004,91.67,91.67,99.67,100.0
Alange,Badajoz,6004,100.0,100.0,100.0,100.0
Alanís,Sevilla,41002,100.0,100.0,100.0,100.0
Alaquàs,Valencia,46005,97.0,97.0,100.0,100.0
Alar del Rey,Palencia,34005,98.25,0.0,100.0,100.0
Alaraz,Salamanca,37007,50.0,0.0,98.5,99.0
Alarba,Zaragoza,50009,65.0,65.0,82.0,100.0
Alarcón,Cuenca,16003,50.0,0.0,99.0,99.0
Alarilla,Guadalajara,19005,100.0,0.0,81.0,78.0
Alaró,Illes Balears,7001,87.0,87.0,100.0,100.0
Alàs i Cerc,Lleida,25005,59.86,9.71,100.0,98.0
Alatoz,Albacete,2002,100.0,100.0,99.0,99.0
Alba,Teruel,44007,100.0,100.0,99.0,99.0
Alba de Cerrato,Palencia,34006,0.0,0.0,100.0,90.0
Alba de Tormes,Salamanca,37008,90.6,14.4,100.0,100.0
Alba de Yeltes,Salamanca,37009,50.0,0.0,97.5,99.5
Albacete,Albacete,2003,43.5,27.56,98.56,95.0
Albagés (L'),Lleida,25006,75.0,0.0,99.0,99.0
Albaida,Valencia,46006,94.0,94.0,100.0,100.0
Albaida del Aljarafe,Sevilla,41003,93.0,93.0,100.0,100.0
Albal,Valencia,46007,100.0,100.0,100.0,100.0
Albalá,Cáceres,10007,59.0,0.0,100.0,100.0
