codigo_ine,municipio,provincia,municipio_nombre_humano,num_centros_salud,num_centros_urgencias,num_hospitales,num_colegios,num_universidades
46111,Chiva,Valencia,Chiva,3,1,0,11,0
50093,Chodes,Zaragoza,Chodes,1,0,0,0,0
12055,Chodos/Xodos,Castellón,Chodos/Xodos,1,0,0,0,0
12056,Chóvar,Castellón,Chóvar,1,0,0,0,0
24065,Chozas de Abajo,León,Chozas de Abajo,9,0,0,0,0
45056,Chozas de Canales,Toledo,Chozas de Canales,1,0,0,3,0
21030,Chucena,Huelva,Chucena,1,0,0,3,0
45057,Chueca,Toledo,Chueca,1,0,0,0,0
46112,Chulilla,Valencia,Chulilla,1,0,0,1,0
16081,Chumillas,Cuenca,Chumillas,1,0,0,0,0
18062,Churriana de la Vega,Granada,Churriana de la Vega,1,0,0,11,0
9101,Ciadoncha,Burgos,Ciadoncha,1,0,0,0,0
26048,Cidamón,La Rioja,Cidamón,1,0,0,0,0
42061,Cidones,Soria,Cidones,4,0,0,0,0
28040,Ciempozuelos,Madrid,Ciempozuelos,1,1,2,33,0
16074,Cierva (La),Cuenca,La Cierva,1,0,0,0,0
30019,Cieza,Murcia,Cieza,2,3,1,23,0
39021,Cieza,Cantabria,Cieza,2,0,0,1,0
19086,Cifuentes,Guadalajara,Cifuentes,10,1,0,3,0
47050,Cigales,Valladolid,Cigales,1,1,0,4,0
42062,Cigudosa,Soria,Cigudosa,1,0,0,0,0
47051,Ciguñuela,Valladolid,Ciguñuela,1,0,0,0,0
42063,Cihuela,Soria,Cihuela,1,0,0,0,0
26049,Cihuri,La Rioja,Cihuri,1,0,0,0,0
18048,Cijuela,Granada,Cijuela,1,0,0,3,0
5059,Cillán,Ávila,Cillán,1,0,0,1,0
9102,Cillaperlata,Burgos,Cillaperlata,0,0,0,0,0
10064,Cilleros,Cáceres,Cilleros,1,1,0,1,0
37104,Cilleros de la Bastida,Salamanca,Cilleros de la Bastida,1,0,0,0,0
9103,Cilleruelo de Abajo,Burgos,Cilleruelo de Abajo,1,0,0,0,0
9104,Cilleruelo de Arriba,Burgos,Cilleruelo de Arriba,1,0,0,0,0
40055,Cilleruelo de San Mamés,Segovia,Cilleruelo de San Mamés,1,0,0,0,0
39022,Cillorigo de Liébana,Cantabria,Cillorigo de Liébana,2,0,0,0,0
24054,Cimanes de la Vega,León,Cimanes de la Vega,2,0,0,0,0
24055,Cimanes del Tejar,León,Cimanes del Tejar,5,0,0,0,0
50082,Cimballa,Zaragoza,Cimballa,1,0,0,0,0
50083,Cinco Olivas,Zaragoza,Cinco Olivas,1,0,0,0,0
19087,Cincovillas,Guadalajara,Cincovillas,1,0,0,0,0
12045,Cinctorres,Castellón,Cinctorres,1,0,0,2,0
31072,Cintruénigo,Navarra,Cintruénigo,1,1,0,4,0
37106,Cipérez,Salamanca,Cipérez,3,0,0,0,0
12046,Cirat,Castellón,Cirat,2,0,0,0,0
31074,Cirauqui/Zirauki,Navarra,Cirauqui/Zirauki,1,0,0,0,0
42064,Ciria,Soria,Ciria,1,0,0,0,0
31075,Ciriza/Ziritza,Navarra,Ciriza/Ziritza,0,0,0,0,0
19088,Ciruelas,Guadalajara,Ciruelas,1,0,0,0,0
45050,Ciruelos,Toledo,Ciruelos,1,0,0,1,0
9105,Ciruelos de Cervera,Burgos,Ciruelos de Cervera,2,0,0,0,0
19089,Ciruelos del Pinar,Guadalajara,Ciruelos del Pinar,1,0,0,0,0
26050,Cirueña,La Rioja,Cirueña,2,0,0,0,0
42065,Cirujales del Río,Soria,Cirujales del Río,1,0,0,0,0
5060,Cisla,Ávila,Cisla,1,0,0,0,0
34059,Cisneros,Palencia,Cisneros,1,0,0,0,0
17051,Cistella,Girona,Cistella,1,0,0,1,0
47052,Cistérniga,Valladolid,Cistérniga,1,0,0,4,0
24056,Cistierna,León,Cistierna,4,1,0,2,0
13034,Ciudad Real,Ciudad Real,Ciudad Real,5,1,3,63,1
37107,Ciudad Rodrigo,Salamanca,Ciudad Rodrigo,2,1,0,14,0
7015,Ciutadella de Menorca,Illes Balears,Ciutadella de Menorca,1,1,1,22,0
25074,Ciutadilla,Lleida,Ciutadilla,1,0,0,1,0
31076,Cizur,Navarra,Cizur,1,0,0,5,0
50084,Clarés de Ribota,Zaragoza,Clarés de Ribota,1,0,0,0,0
