codigo_ine,municipio,provincia,municipio_nombre_humano,num_colegios,num_universidades
10007,Albalá,Cáceres,Albalá,0,0
13004,Albaladejo,Ciudad Real,Albaladejo,2,0
16004,Albaladejo del Cuende,Cuenca,Albaladejo del Cuende,0,0
46008,Albalat de la Ribera,Valencia,Albalat de la Ribera,4,0
46009,Albalat dels Sorells,Valencia,Albalat dels Sorells,0,0
46010,Albalat dels Tarongers,Valencia,Albalat dels Tarongers,0,0
22007,Albalate de Cinca,Huesca,Albalate de Cinca,0,0
16005,Albalate de las Nogueras,Cuenca,Albalate de las Nogueras,0,0
19006,Albalate de Zorita,Guadalajara,Albalate de Zorita,3,0
44008,Albalate del Arzobispo,Teruel,Albalate del Arzobispo,2,0
22008,Albalatillo,Huesca,Albalatillo,0,0
4004,Albanchez,Almería,Albanchez,0,0
23001,Albanchez de Mágina,Jaén,Albanchez de Mágina,2,0
17003,Albanyà,Girona,Albanyà,1,0
19007,Albares,Guadalajara,Albares,0,0
44009,Albarracín,Teruel,Albarracín,4,0
45003,Albarreal de Tajo,Toledo,Albarreal de Tajo,1,0
2004,Albatana,Albacete,Albatana,2,0
25007,Albatàrrec,Lleida,Albatàrrec,2,0
3005,Albatera,Alicante,Albatera,9,0
22009,Albelda,Huesca,Albelda,2,0
26005,Albelda de Iregua,La Rioja,Albelda de Iregua,2,0
16006,Albendea,Cuenca,Albendea,0,0
19008,Albendiego,Guadalajara,Albendiego,0,0
44010,Albentosa,Teruel,Albentosa,0,0
37010,Alberca (La),Salamanca,La Alberca,2,0
16007,Alberca de Záncara (La),Cuenca,La Alberca de Záncara,2,0
37011,Alberguería de Argañán (La),Salamanca,La Alberguería de Argañán,0,0
46011,Alberic,Valencia,Alberic,8,0
26006,Alberite,La Rioja,Alberite,2,0
50010,Alberite de San Juan,Zaragoza,Alberite de San Juan,0,0
22011,Albero Alto,Huesca,Albero Alto,0,0
22012,Albero Bajo,Huesca,Albero Bajo,0,0
22013,Alberuela de Tubo,Huesca,Alberuela de Tubo,0,0
25008,Albesa,Lleida,Albesa,2,0
50011,Albeta,Zaragoza,Albeta,0,0
25009,Albi (L'),Lleida,L' Albi,0,0
9009,Albillos,Burgos,Albillos,1,0
43002,Albinyana,Tarragona,Albinyana,2,0
43003,Albiol (L'),Tarragona,L' Albiol,0,0
20004,Albiztur,Gipuzkoa,Albiztur,2,0
12003,Albocàsser,Castellón,Albocàsser,4,0
4005,Alboloduy,Almería,Alboloduy,2,0
18003,Albolote,Granada,Albolote,13,0
18004,Albondón,Granada,Albondón,1,0
17004,Albons,Girona,Albons,1,0
46012,Alborache,Valencia,Alborache,4,0
46013,Alboraia/Alboraya,Valencia,Alboraia/Alboraya,17,0
2005,Alborea,Albacete,Alborea,2,0
50012,Alborge,Zaragoza,Alborge,0,0
5005,Albornos,Ávila,Albornos,0,0
4006,Albox,Almería,Albox,16,0
30004,Albudeite,Murcia,Albudeite,1,0
6005,Albuera (La),Badajoz,La Albuera,1,0
