municipio,provincia,codigo_ine,num_centros_salud,municipio_nombre_humano
Almolda (La),Zaragoza,50022,1,La Almolda
Almonacid de la Cuba,Zaragoza,50023,1,Almonacid de la Cuba
Almonacid de la Sierra,Zaragoza,50024,1,Almonacid de la Sierra
Almonacid de Toledo,Toledo,45012,1,Almonacid de Toledo
Almonacid de Zorita,Guadalajara,19022,1,Almonacid de Zorita
Almonacid del Marquesado,Cuenca,16018,1,Almonacid del Marquesado
Almonaster la Real,Huelva,21004,6,Almonaster la Real
Almonte,Huelva,21005,3,Almonte
Almoradí,Alicante,3015,2,Almoradí
Almorox,Toledo,45013,1,Almorox
Almoster,Tarragona,43011,1,Almoster
Almudaina,Alicante,3016,1,Almudaina
Almudévar,Huesca,22021,4,Almudévar
Almunia de Doña Godina (La),Zaragoza,50025,1,La Almunia de Doña Godina
Almunia de San Juan,Huesca,22022,1,Almunia de San Juan
Almuniente,Huesca,22023,2,Almuniente
Almuñécar,Granada,18017,4,Almuñécar
Almuradiel,Ciudad Real,13016,1,Almuradiel
Almussafes,Valencia,46035,1,Almussafes
Alobras,Teruel,44019,1,Alobras
Alocén,Guadalajara,19023,1,Alocén
Alonsotegi,Bizkaia,48912,1,Alonsotegi
Álora,Málaga,29012,1,Álora
Alòs de Balaguer,Lleida,25022,1,Alòs de Balaguer
Alosno,Huelva,21006,2,Alosno
Alovera,Guadalajara,19024,1,Alovera
Alozaina,Málaga,29013,1,Alozaina
Alp,Girona,17006,1,Alp
Alpandeire,Málaga,29014,1,Alpandeire
Alpanseque,Soria,42023,2,Alpanseque
Alpartir,Zaragoza,50026,1,Alpartir
Alpedrete,Madrid,28010,1,Alpedrete
Alpens,Barcelona,8004,0,Alpens
Alpeñés,Teruel,44020,1,Alpeñés
Alpera,Albacete,2010,1,Alpera
Alpicat,Lleida,25023,1,Alpicat
Alpuente,Valencia,46036,1,Alpuente
