municipio,provincia,municipio_nombre_humano,codigo_ine,comunidad_autonoma
Carbellino,Zamora,Carbellino,49037,Castilla y León
Carboneras,Almería,Carboneras,4032,Andalucía
Carboneras de Guadazaón,Cuenca,Carboneras de Guadazaón,16055,Castilla-La Mancha
Carbonero el Mayor,Segovia,Carbonero el Mayor,40043,Castilla y León
Carboneros,Jaén,Carboneros,23021,Andalucía
Carcaboso,Cáceres,Carcaboso,10047,Extremadura
Carcabuey,Córdoba,Carcabuey,14015,Andalucía
Carcaixent,Valencia,Carcaixent,46083,Comunidad Valenciana
Cárcar,Navarra,Cárcar,31066,Comunidad Foral de Navarra
Carcastillo,Navarra,Carcastillo,31067,Comunidad Foral de Navarra
Carcedo de Bureba,Burgos,Carcedo de Bureba,9071,Castilla y León
Carcedo de Burgos,Burgos,Carcedo de Burgos,9072,Castilla y León
Carcelén,Albacete,Carcelén,2020,Castilla-La Mancha
Càrcer,Valencia,Càrcer,46084,Comunidad Valenciana
Cárcheles,Jaén,Cárcheles,23901,Andalucía
Cardedeu,Barcelona,Cardedeu,8046,Cataluña
Cárdenas,La Rioja,Cárdenas,26041,La Rioja
Cardenete,Cuenca,Cardenete,16056,Castilla-La Mancha
Cardeña,Córdoba,Cardeña,14016,Andalucía
Cardeñadijo,Burgos,Cardeñadijo,9073,Castilla y León
Cardeñajimeno,Burgos,Cardeñajimeno,9074,Castilla y León
Cardeñosa,Ávila,Cardeñosa,5049,Castilla y León
Cardeñosa de Volpejera,Palencia,Cardeñosa de Volpejera,34046,Castilla y León
Cardeñuela Riopico,Burgos,Cardeñuela Riopico,9075,Castilla y León
Cardiel de los Montes,Toledo,Cardiel de los Montes,45035,Castilla-La Mancha
Cardona,Barcelona,Cardona,8047,Cataluña
Cardoso de la Sierra (El),Guadalajara,El Cardoso de la Sierra,19067,Castilla-La Mancha
Carenas,Zaragoza,Carenas,50072,Aragón
Cariñena,Zaragoza,Cariñena,50073,Aragón
Cariño,A Coruña,Cariño,15901,Galicia
Carlet,Valencia,Carlet,46085,Comunidad Valenciana
Carlota (La),Córdoba,La Carlota,14017,Andalucía
Carme,Barcelona,Carme,8048,Cataluña
Carmena,Toledo,Carmena,45036,Castilla-La Mancha
Cármenes,León,Cármenes,24037,Castilla y León
Carmona,Sevilla,Carmona,41024,Andalucía
Carmonita,Badajoz,Carmonita,6031,Extremadura
Carnota,A Coruña,Carnota,15020,Galicia
Carolina (La),Jaén,La Carolina,23024,Andalucía
Carpio,Valladolid,Carpio,47035,Castilla y León
Carpio (El),Córdoba,El Carpio,14018,Andalucía
Carpio de Azaba,Salamanca,Carpio de Azaba,37086,Castilla y León
Carpio de Tajo (El),Toledo,El Carpio de Tajo,45037,Castilla-La Mancha
Carracedelo,León,Carracedelo,24038,Castilla y León
Carral,A Coruña,Carral,15021,Galicia
Carranque,Toledo,Carranque,45038,Castilla-La Mancha
Carrascal de Barregas,Salamanca,Carrascal de Barregas,37087,Castilla y León
Carrascal del Obispo,Salamanca,Carrascal del Obispo,37088,Castilla y León
Carrascal del Río,Segovia,Carrascal del Río,40044,Castilla y León
Carrascalejo,Cáceres,Carrascalejo,10048,Extremadura
Carrascalejo (El),Badajoz,El Carrascalejo,6032,Extremadura
Carrascosa,Cuenca,Carrascosa,16057,Castilla-La Mancha
Carrascosa de Abajo,Soria,Carrascosa de Abajo,42053,Castilla y León
Carrascosa de Haro,Cuenca,Carrascosa de Haro,16058,Castilla-La Mancha
Carrascosa de la Sierra,Soria,Carrascosa de la Sierra,42054,Castilla y León
Carratraca,Málaga,Carratraca,29036,Andalucía
Carreño,Asturias,Carreño,33014,Principado de Asturias
Carrera (La),Ávila,La Carrera,5051,Castilla y León
Carrias,Burgos,Carrias,9076,Castilla y León
Carriches,Toledo,Carriches,45039,Castilla-La Mancha
Carrícola,Valencia,Carrícola,46086,Comunidad Valenciana
Carrión de Calatrava,Ciudad Real,Carrión de Calatrava,13031,Castilla-La Mancha
Carrión de los Céspedes,Sevilla,Carrión de los Céspedes,41025,Andalucía
Carrión de los Condes,Palencia,Carrión de los Condes,34047,Castilla y León
Carrizo,León,Carrizo,24039,Castilla y León
Carrizosa,Ciudad Real,Carrizosa,13032,Castilla-La Mancha
Carrocera,León,Carrocera,24040,Castilla y León
Cartagena,Murcia,Cartagena,30016,Región de Murcia
Cartajima,Málaga,Cartajima,29037,Andalucía
Cártama,Málaga,Cártama,29038,Andalucía
Cartaya,Huelva,Cartaya,21021,Andalucía
Cartelle,Ourense,Cartelle,32020,Galicia
Cartes,Cantabria,Cartes,39018,Cantabria
Carucedo,León,Carucedo,24041,Castilla y León
Casa de Uceda,Guadalajara,Casa de Uceda,19070,Castilla-La Mancha
Casabermeja,Málaga,Casabermeja,29039,Andalucía
Casafranca,Salamanca,Casafranca,37089,Castilla y León
Casalarreina,La Rioja,Casalarreina,26042,La Rioja
Casar (El),Guadalajara,El Casar,19071,Castilla-La Mancha
Casar de Cáceres,Cáceres,Casar de Cáceres,10049,Extremadura
Casar de Escalona (El),Toledo,El Casar de Escalona,45040,Castilla-La Mancha
Casar de Palomero,Cáceres,Casar de Palomero,10050,Extremadura
Casarabonela,Málaga,Casarabonela,29040,Andalucía
Casarejos,Soria,Casarejos,42055,Castilla y León
Casares,Málaga,Casares,29041,Andalucía
Casares de las Hurdes,Cáceres,Casares de las Hurdes,10051,Extremadura
Casariche,Sevilla,Casariche,41026,Andalucía
Casarrubios del Monte,Toledo,Casarrubios del Monte,45041,Castilla-La Mancha
Casarrubuelos,Madrid,Casarrubuelos,28036,Comunidad de Madrid
Casas Altas,Valencia,Casas Altas,46087,Comunidad Valenciana
Casas Bajas,Valencia,Casas Bajas,46088,Comunidad Valenciana
Casas de Benítez,Cuenca,Casas de Benítez,16060,Castilla-La Mancha
Casas de Don Antonio,Cáceres,Casas de Don Antonio,10052,Extremadura
Casas de Don Gómez,Cáceres,Casas de Don Gómez,10053,Extremadura
Casas de Don Pedro,Badajoz,Casas de Don Pedro,6033,Extremadura
Casas de Fernando Alonso,Cuenca,Casas de Fernando Alonso,16061,Castilla-La Mancha
Casas de Garcimolina,Cuenca,Casas de Garcimolina,16062,Castilla-La Mancha
Casas de Guijarro,Cuenca,Casas de Guijarro,16063,Castilla-La Mancha
Casas de Haro,Cuenca,Casas de Haro,16064,Castilla-La Mancha
Casas de Juan Núñez,Albacete,Casas de Juan Núñez,2021,Castilla-La Mancha
Casas de Lázaro,Albacete,Casas de Lázaro,2022,Castilla-La Mancha
Casas de los Pinos,Cuenca,Casas de los Pinos,16065,Castilla-La Mancha
Casas de Millán,Cáceres,Casas de Millán,10056,Extremadura
Casas de Miravete,Cáceres,Casas de Miravete,10057,Extremadura
Casas de Reina,Badajoz,Casas de Reina,6034,Extremadura
Casas de San Galindo,Guadalajara,Casas de San Galindo,19073,Castilla-La Mancha
Casas de Ves,Albacete,Casas de Ves,2023,Castilla-La Mancha
Casas del Castañar,Cáceres,Casas del Castañar,10054,Extremadura
Casas del Conde (Las),Salamanca,Las Casas del Conde,37090,Castilla y León
Casas del Monte,Cáceres,Casas del Monte,10055,Extremadura
Casas del Puerto,Ávila,Casas del Puerto,5052,Castilla y León
Casas-Ibáñez,Albacete,Casas-Ibáñez,2024,Castilla-La Mancha
Casasbuenas,Toledo,Casasbuenas,45042,Castilla-La Mancha
Casaseca de Campeán,Zamora,Casaseca de Campeán,49038,Castilla y León
Casaseca de las Chanas,Zamora,Casaseca de las Chanas,49039,Castilla y León
Casasimarro,Cuenca,Casasimarro,16066,Castilla-La Mancha
Casasola,Ávila,Casasola,5053,Castilla y León
Casasola de Arión,Valladolid,Casasola de Arión,47036,Castilla y León
Casatejada,Cáceres,Casatejada,10058,Extremadura
Casavieja,Ávila,Casavieja,5054,Castilla y León
Casbas de Huesca,Huesca,Casbas de Huesca,22081,Aragón
Cascajares de Bureba,Burgos,Cascajares de Bureba,9077,Castilla y León
Cascajares de la Sierra,Burgos,Cascajares de la Sierra,9078,Castilla y León
Cascante,Navarra,Cascante,31068,Comunidad Foral de Navarra
Cascante del Río,Teruel,Cascante del Río,44064,Aragón
Cáseda,Navarra,Cáseda,31069,Comunidad Foral de Navarra
Caseres,Tarragona,Caseres,43041,Cataluña
Casillas,Ávila,Casillas,5055,Castilla y León
Casillas de Coria,Cáceres,Casillas de Coria,10059,Extremadura
Casillas de Flores,Salamanca,Casillas de Flores,37091,Castilla y León
Casinos,Valencia,Casinos,46089,Comunidad Valenciana
Casla,Segovia,Casla,40045,Castilla y León
Caso,Asturias,Caso,33015,Principado de Asturias
Caspe,Zaragoza,Caspe,50074,Aragón
Caspueñas,Guadalajara,Caspueñas,19074,Castilla-La Mancha
Cassà de la Selva,Girona,Cassà de la Selva,17044,Cataluña
Casserres,Barcelona,Casserres,8049,Cataluña
Castalla,Alicante,Castalla,3053,Comunidad Valenciana
Castañar de Ibor,Cáceres,Castañar de Ibor,10060,Extremadura
Castañares de Rioja,La Rioja,Castañares de Rioja,26043,La Rioja
Castañeda,Cantabria,Castañeda,39019,Cantabria
Castaño del Robledo,Huelva,Castaño del Robledo,21022,Andalucía
Cástaras,Granada,Cástaras,18044,Andalucía
Castejón,Cuenca,Castejón,16067,Castilla-La Mancha
Castejón,Navarra,Castejón,31070,Comunidad Foral de Navarra
Castejón de Alarba,Zaragoza,Castejón de Alarba,50075,Aragón
Castejón de Henares,Guadalajara,Castejón de Henares,19075,Castilla-La Mancha
Castejón de las Armas,Zaragoza,Castejón de las Armas,50076,Aragón
Castejón de Monegros,Huesca,Castejón de Monegros,22083,Aragón
Castejón de Sos,Huesca,Castejón de Sos,22084,Aragón
Castejón de Tornos,Teruel,Castejón de Tornos,44065,Aragón
Castejón de Valdejasa,Zaragoza,Castejón de Valdejasa,50077,Aragón
Castejón del Puente,Huesca,Castejón del Puente,22082,Aragón
Castel de Cabra,Teruel,Castel de Cabra,44066,Aragón
Castelflorite,Huesca,Castelflorite,22085,Aragón
Castell (Es),Illes Balears,Es Castell,7064,Islas Baleares
Castell de Cabres,Castellón,Castell de Cabres,12037,Comunidad Valenciana
Castell de Castells,Alicante,Castell de Castells,3054,Comunidad Valenciana
Castell de Guadalest (El),Alicante,El Castell de Guadalest,3075,Comunidad Valenciana
Castell de l'Areny,Barcelona,Castell de l'Areny,8057,Cataluña
Castell de Mur,Lleida,Castell de Mur,25904,Cataluña
Castell-Platja d'Aro,Girona,Castell-Platja d'Aro,17048,Cataluña
Castellanos de Castro,Burgos,Castellanos de Castro,9079,Castilla y León
Castellanos de Moriscos,Salamanca,Castellanos de Moriscos,37092,Castilla y León
Castellanos de Villiquera,Salamanca,Castellanos de Villiquera,37185,Castilla y León
Castellanos de Zapardiel,Ávila,Castellanos de Zapardiel,5056,Castilla y León
Castellar,Jaén,Castellar,23025,Andalucía
Castellar (El),Teruel,El Castellar,44070,Aragón
Castellar de la Frontera,Cádiz,Castellar de la Frontera,11013,Andalucía
Castellar de la Muela,Guadalajara,Castellar de la Muela,19076,Castilla-La Mancha
Castellar de la Ribera,Lleida,Castellar de la Ribera,25064,Cataluña
Castellar de n'Hug,Barcelona,Castellar de n'Hug,8052,Cataluña
Castellar de Santiago,Ciudad Real,Castellar de Santiago,13033,Castilla-La Mancha
Castellar del Riu,Barcelona,Castellar del Riu,8050,Cataluña
Castellar del Vallès,Barcelona,Castellar del Vallès,8051,Cataluña
Castellbell i el Vilar,Barcelona,Castellbell i el Vilar,8053,Cataluña
Castellbisbal,Barcelona,Castellbisbal,8054,Cataluña
Castellcir,Barcelona,Castellcir,8055,Cataluña
Castelldans,Lleida,Castelldans,25067,Cataluña
Castelldefels,Barcelona,Castelldefels,8056,Cataluña
Castellet i la Gornal,Barcelona,Castellet i la Gornal,8058,Cataluña
Castellfollit de la Roca,Girona,Castellfollit de la Roca,17046,Cataluña
Castellfollit de Riubregós,Barcelona,Castellfollit de Riubregós,8060,Cataluña
Castellfollit del Boix,Barcelona,Castellfollit del Boix,8059,Cataluña
Castellfort,Castellón,Castellfort,12038,Comunidad Valenciana
Castellgalí,Barcelona,Castellgalí,8061,Cataluña
Castellnou de Bages,Barcelona,Castellnou de Bages,8062,Cataluña
Castellnou de Seana,Lleida,Castellnou de Seana,25068,Cataluña
Castellnovo,Castellón,Castellnovo,12039,Comunidad Valenciana
Castelló,Valencia,Castelló,46257,Comunidad Valenciana
Castelló d'Empúries,Girona,Castelló d'Empúries,17047,Cataluña
Castelló de Farfanya,Lleida,Castelló de Farfanya,25069,Cataluña
Castelló de Rugat,Valencia,Castelló de Rugat,46090,Comunidad Valenciana
Castellolí,Barcelona,Castellolí,8063,Cataluña
Castellón de la Plana,Castellón,Castellón de la Plana,12040,Comunidad Valenciana
Castellonet de la Conquesta,Valencia,Castellonet de la Conquesta,46091,Comunidad Valenciana
Castellote,Teruel,Castellote,44071,Aragón
Castellserà,Lleida,Castellserà,25070,Cataluña
Castellterçol,Barcelona,Castellterçol,8064,Cataluña
Castellvell del Camp,Tarragona,Castellvell del Camp,43042,Cataluña
Castellví de la Marca,Barcelona,Castellví de la Marca,8065,Cataluña
Castellví de Rosanes,Barcelona,Castellví de Rosanes,8066,Cataluña
Castelnou,Teruel,Castelnou,44067,Aragón
Castelserás,Teruel,Castelserás,44068,Aragón
Castielfabib,Valencia,Castielfabib,46092,Comunidad Valenciana
Castiello de Jaca,Huesca,Castiello de Jaca,22086,Aragón
Castigaleu,Huesca,Castigaleu,22087,Aragón
Castil de Peones,Burgos,Castil de Peones,9083,Castilla y León
Castil de Vela,Palencia,Castil de Vela,34048,Castilla y León
Castilblanco,Badajoz,Castilblanco,6035,Extremadura
Castilblanco de los Arroyos,Sevilla,Castilblanco de los Arroyos,41027,Andalucía
Castildelgado,Burgos,Castildelgado,9082,Castilla y León
Castilfalé,León,Castilfalé,24042,Castilla y León
Castilforte,Guadalajara,Castilforte,19078,Castilla-La Mancha
Castilfrío de la Sierra,Soria,Castilfrío de la Sierra,42056,Castilla y León
Castiliscar,Zaragoza,Castiliscar,50078,Aragón
Castillazuelo,Huesca,Castillazuelo,22088,Aragón
Castilleja de Guzmán,Sevilla,Castilleja de Guzmán,41028,Andalucía
Castilleja de la Cuesta,Sevilla,Castilleja de la Cuesta,41029,Andalucía
Castilleja del Campo,Sevilla,Castilleja del Campo,41030,Andalucía
Castilléjar,Granada,Castilléjar,18045,Andalucía
Castillejo de Iniesta,Cuenca,Castillejo de Iniesta,16068,Castilla-La Mancha
Castillejo de Martín Viejo,Salamanca,Castillejo de Martín Viejo,37096,Castilla y León
Castillejo de Mesleón,Segovia,Castillejo de Mesleón,40046,Castilla y León
Castillejo de Robledo,Soria,Castillejo de Robledo,42058,Castilla y León
Castillejo-Sierra,Cuenca,Castillejo-Sierra,16070,Castilla-La Mancha
Castillo de Bayuela,Toledo,Castillo de Bayuela,45043,Castilla-La Mancha
Castillo de Garcimuñoz,Cuenca,Castillo de Garcimuñoz,16072,Castilla-La Mancha
Castillo de las Guardas (El),Sevilla,El Castillo de las Guardas,41031,Andalucía
Castillo de Locubín,Jaén,Castillo de Locubín,23026,Andalucía
Castillo de Villamalefa,Castellón,Castillo de Villamalefa,12041,Comunidad Valenciana
Castillo-Albaráñez,Cuenca,Castillo-Albaráñez,16071,Castilla-La Mancha
Castillonroy,Huesca,Castillonroy,22089,Aragón
Castillonuevo,Navarra,Castillonuevo,31071,Comunidad Foral de Navarra
Castilnuevo,Guadalajara,Castilnuevo,19079,Castilla-La Mancha
Castilruiz,Soria,Castilruiz,42057,Castilla y León
Castraz,Salamanca,Castraz,37097,Castilla y León
Castrejón de la Peña,Palencia,Castrejón de la Peña,34049,Castilla y León
Castrejón de Trabancos,Valladolid,Castrejón de Trabancos,47037,Castilla y León
Castrelo de Miño,Ourense,Castrelo de Miño,32022,Galicia
Castrelo do Val,Ourense,Castrelo do Val,32021,Galicia
Castril,Granada,Castril,18046,Andalucía
Castrillo de Cabrera,León,Castrillo de Cabrera,24043,Castilla y León
Castrillo de Don Juan,Palencia,Castrillo de Don Juan,34050,Castilla y León
Castrillo de Duero,Valladolid,Castrillo de Duero,47038,Castilla y León
Castrillo de la Guareña,Zamora,Castrillo de la Guareña,49040,Castilla y León
Castrillo de la Reina,Burgos,Castrillo de la Reina,9084,Castilla y León
Castrillo de la Valduerna,León,Castrillo de la Valduerna,24044,Castilla y León
Castrillo de la Vega,Burgos,Castrillo de la Vega,9085,Castilla y León
Castrillo de Onielo,Palencia,Castrillo de Onielo,34051,Castilla y León
Castrillo de Riopisuerga,Burgos,Castrillo de Riopisuerga,9088,Castilla y León
Castrillo de Villavega,Palencia,Castrillo de Villavega,34052,Castilla y León
Castrillo del Val,Burgos,Castrillo del Val,9086,Castilla y León
Castrillo Mota de Judíos,Burgos,Castrillo Mota de Judíos,9090,Castilla y León
Castrillo-Tejeriego,Valladolid,Castrillo-Tejeriego,47039,Castilla y León
Castrillón,Asturias,Castrillón,33016,Principado de Asturias
Castro Caldelas,Ourense,Castro Caldelas,32023,Galicia
Castro de Filabres,Almería,Castro de Filabres,4033,Andalucía
Castro de Fuentidueña,Segovia,Castro de Fuentidueña,40047,Castilla y León
Castro de Rei,Lugo,Castro de Rei,27010,Galicia
Castro del Río,Córdoba,Castro del Río,14019,Andalucía
Castro-Urdiales,Cantabria,Castro-Urdiales,39020,Cantabria
Castrobol,Valladolid,Castrobol,47040,Castilla y León
Castrocalbón,León,Castrocalbón,24046,Castilla y León
Castrocontrigo,León,Castrocontrigo,24047,Castilla y León
Castrodeza,Valladolid,Castrodeza,47041,Castilla y León
Castrogonzalo,Zamora,Castrogonzalo,49041,Castilla y León
Castrojeriz,Burgos,Castrojeriz,9091,Castilla y León
Castrojimeno,Segovia,Castrojimeno,40048,Castilla y León
Castromembibre,Valladolid,Castromembibre,47042,Castilla y León
Castromocho,Palencia,Castromocho,34053,Castilla y León
Castromonte,Valladolid,Castromonte,47043,Castilla y León
Castronuevo,Zamora,Castronuevo,49042,Castilla y León
Castronuevo de Esgueva,Valladolid,Castronuevo de Esgueva,47044,Castilla y León
Castronuño,Valladolid,Castronuño,47045,Castilla y León
Castropodame,León,Castropodame,24049,Castilla y León
Castropol,Asturias,Castropol,33017,Principado de Asturias
Castroponce,Valladolid,Castroponce,47046,Castilla y León
Castroserna de Abajo,Segovia,Castroserna de Abajo,40049,Castilla y León
Castroserracín,Segovia,Castroserracín,40051,Castilla y León
Castrotierra de Valmadrigal,León,Castrotierra de Valmadrigal,24050,Castilla y León
Castroverde,Lugo,Castroverde,27011,Galicia
Castroverde de Campos,Zamora,Castroverde de Campos,49043,Castilla y León
Castroverde de Cerrato,Valladolid,Castroverde de Cerrato,47047,Castilla y León
Castroviejo,La Rioja,Castroviejo,26044,La Rioja
Castuera,Badajoz,Castuera,6036,Extremadura
Catadau,Valencia,Catadau,46093,Comunidad Valenciana
Catarroja,Valencia,Catarroja,46094,Comunidad Valenciana
Catí,Castellón,Catí,12042,Comunidad Valenciana
Catllar (El),Tarragona,El Catllar,43043,Cataluña
Catoira,Pontevedra,Catoira,36010,Galicia
Catral,Alicante,Catral,3055,Comunidad Valenciana
Caudete,Albacete,Caudete,2025,Castilla-La Mancha
Caudete de las Fuentes,Valencia,Caudete de las Fuentes,46095,Comunidad Valenciana
Caudiel,Castellón,Caudiel,12043,Comunidad Valenciana
Cava,Lleida,Cava,25071,Cataluña
Cavia,Burgos,Cavia,9063,Castilla y León
Cayuela,Burgos,Cayuela,9093,Castilla y León
Cazalegas,Toledo,Cazalegas,45045,Castilla-La Mancha
Cazalilla,Jaén,Cazalilla,23027,Andalucía
Cazalla de la Sierra,Sevilla,Cazalla de la Sierra,41032,Andalucía
Cazorla,Jaén,Cazorla,23028,Andalucía
Cazurra,Zamora,Cazurra,49044,Castilla y León
Cea,León,Cea,24051,Castilla y León
Cebanico,León,Cebanico,24052,Castilla y León
Cebolla,Toledo,Cebolla,45046,Castilla-La Mancha
Cebrecos,Burgos,Cebrecos,9094,Castilla y León
Cebreros,Ávila,Cebreros,5057,Castilla y León
Cebrones del Río,León,Cebrones del Río,24053,Castilla y León
Ceclavín,Cáceres,Ceclavín,10061,Extremadura
Cedeira,A Coruña,Cedeira,15022,Galicia
Cedillo,Cáceres,Cedillo,10062,Extremadura
Cedillo de la Torre,Segovia,Cedillo de la Torre,40052,Castilla y León
Cedillo del Condado,Toledo,Cedillo del Condado,45047,Castilla-La Mancha
Cedrillas,Teruel,Cedrillas,44074,Aragón
Cee,A Coruña,Cee,15023,Galicia
Cehegín,Murcia,Cehegín,30017,Región de Murcia
Ceinos de Campos,Valladolid,Ceinos de Campos,47048,Castilla y León
Celada del Camino,Burgos,Celada del Camino,9095,Castilla y León
Celadas,Teruel,Celadas,44075,Aragón
Celanova,Ourense,Celanova,32024,Galicia
Cella,Teruel,Cella,44076,Aragón
Cellera de Ter (La),Girona,La Cellera de Ter,17189,Cataluña
Cellorigo,La Rioja,Cellorigo,26045,La Rioja
Celrà,Girona,Celrà,17049,Cataluña
Cendea de Olza/Oltza Zendea,Navarra,Cendea de Olza/Oltza Zendea,31193,Comunidad Foral de Navarra
Cendejas de Enmedio,Guadalajara,Cendejas de Enmedio,19080,Castilla-La Mancha
Cendejas de la Torre,Guadalajara,Cendejas de la Torre,19081,Castilla-La Mancha
Cenes de la Vega,Granada,Cenes de la Vega,18047,Andalucía
Cenicero,La Rioja,Cenicero,26046,La Rioja
Cenicientos,Madrid,Cenicientos,28037,Comunidad de Madrid
Cenizate,Albacete,Cenizate,2026,Castilla-La Mancha
Cenlle,Ourense,Cenlle,32025,Galicia
Centelles,Barcelona,Centelles,8067,Cataluña
Centenera,Guadalajara,Centenera,19082,Castilla-La Mancha
Centenera de Andaluz,Soria,Centenera de Andaluz,42059,Castilla y León
Cepeda,Salamanca,Cepeda,37098,Castilla y León
Cepeda la Mora,Ávila,Cepeda la Mora,5058,Castilla y León
Cerbón,Soria,Cerbón,42060,Castilla y León
Cerceda,A Coruña,Cerceda,15024,Galicia
Cercedilla,Madrid,Cercedilla,28038,Comunidad de Madrid
Cercs,Barcelona,Cercs,8268,Cataluña
Cerdà,Valencia,Cerdà,46096,Comunidad Valenciana
Cerdanyola del Vallès,Barcelona,Cerdanyola del Vallès,8266,Cataluña
Cerdedo-Cotobade,Pontevedra,Cerdedo-Cotobade,36902,Galicia
Cerdido,A Coruña,Cerdido,15025,Galicia
Cereceda de la Sierra,Salamanca,Cereceda de la Sierra,37099,Castilla y León
Cerecinos de Campos,Zamora,Cerecinos de Campos,49046,Castilla y León
Cerecinos del Carrizal,Zamora,Cerecinos del Carrizal,49047,Castilla y León
Cerezal de Peñahorcada,Salamanca,Cerezal de Peñahorcada,37100,Castilla y León
Cerezo,Cáceres,Cerezo,10063,Extremadura
Cerezo de Abajo,Segovia,Cerezo de Abajo,40053,Castilla y León
Cerezo de Arriba,Segovia,Cerezo de Arriba,40054,Castilla y León
Cerezo de Río Tirón,Burgos,Cerezo de Río Tirón,9098,Castilla y León
Cernadilla,Zamora,Cernadilla,49048,Castilla y León
Cerollera (La),Teruel,La Cerollera,44077,Aragón
Cerralbo,Salamanca,Cerralbo,37101,Castilla y León
Cerralbos (Los),Toledo,Los Cerralbos,45048,Castilla-La Mancha
Cerratón de Juarros,Burgos,Cerratón de Juarros,9100,Castilla y León
Cerro (El),Salamanca,El Cerro,37102,Castilla y León
Cerro de Andévalo (El),Huelva,El Cerro de Andévalo,21023,Andalucía
Cervantes,Lugo,Cervantes,27012,Galicia
Cervatos de la Cueza,Palencia,Cervatos de la Cueza,34055,Castilla y León
Cervelló,Barcelona,Cervelló,8068,Cataluña
Cervera,Lleida,Cervera,25072,Cataluña
Cervera de Buitrago,Madrid,Cervera de Buitrago,28039,Comunidad de Madrid
Cervera de la Cañada,Zaragoza,Cervera de la Cañada,50079,Aragón
Cervera de los Montes,Toledo,Cervera de los Montes,45049,Castilla-La Mancha
Cervera de Pisuerga,Palencia,Cervera de Pisuerga,34056,Castilla y León
Cervera del Llano,Cuenca,Cervera del Llano,16073,Castilla-La Mancha
Cervera del Maestre,Castellón,Cervera del Maestre,12044,Comunidad Valenciana
Cervera del Río Alhama,La Rioja,Cervera del Río Alhama,26047,La Rioja
Cerveruela,Zaragoza,Cerveruela,50080,Aragón
Cervià de les Garrigues,Lleida,Cervià de les Garrigues,25073,Cataluña
Cervià de Ter,Girona,Cervià de Ter,17050,Cataluña
Cervillego de la Cruz,Valladolid,Cervillego de la Cruz,47049,Castilla y León
Cervo,Lugo,Cervo,27013,Galicia
Cespedosa de Tormes,Salamanca,Cespedosa de Tormes,37103,Castilla y León
Cetina,Zaragoza,Cetina,50081,Aragón
Ceuta,Ceuta,Ceuta,51001,Ceuta
Ceutí,Murcia,Ceutí,30018,Región de Murcia
Cevico de la Torre,Palencia,Cevico de la Torre,34057,Castilla y León
Cevico Navero,Palencia,Cevico Navero,34058,Castilla y León
Chagarcía Medianero,Salamanca,Chagarcía Medianero,37114,Castilla y León
Chalamera,Huesca,Chalamera,22094,Aragón
Chamartín,Ávila,Chamartín,5067,Castilla y León
Chandrexa de Queixa,Ourense,Chandrexa de Queixa,32029,Galicia
Chantada,Lugo,Chantada,27016,Galicia
Chañe,Segovia,Chañe,40065,Castilla y León
Chapinería,Madrid,Chapinería,28051,Comunidad de Madrid
Chauchina,Granada,Chauchina,18059,Andalucía
Checa,Guadalajara,Checa,19103,Castilla-La Mancha
Cheles,Badajoz,Cheles,6042,Extremadura
Chella,Valencia,Chella,46107,Comunidad Valenciana
Chelva,Valencia,Chelva,46106,Comunidad Valenciana
Chequilla,Guadalajara,Chequilla,19104,Castilla-La Mancha
Chera,Valencia,Chera,46108,Comunidad Valenciana
Chercos,Almería,Chercos,4036,Andalucía
Cheste,Valencia,Cheste,46109,Comunidad Valenciana
Chía,Huesca,Chía,22095,Aragón
Chiclana de la Frontera,Cádiz,Chiclana de la Frontera,11015,Andalucía
Chiclana de Segura,Jaén,Chiclana de Segura,23029,Andalucía
Chilches/Xilxes,Castellón,Chilches/Xilxes,12053,Comunidad Valenciana
Chillarón de Cuenca,Cuenca,Chillarón de Cuenca,16023,Castilla-La Mancha
Chillarón del Rey,Guadalajara,Chillarón del Rey,19106,Castilla-La Mancha
Chillón,Ciudad Real,Chillón,13038,Castilla-La Mancha
Chilluévar,Jaén,Chilluévar,23030,Andalucía
Chiloeches,Guadalajara,Chiloeches,19105,Castilla-La Mancha
Chimeneas,Granada,Chimeneas,18061,Andalucía
Chimillas,Huesca,Chimillas,22096,Aragón
Chinchilla de Monte-Aragón,Albacete,Chinchilla de Monte-Aragón,2029,Castilla-La Mancha
Chinchón,Madrid,Chinchón,28052,Comunidad de Madrid
Chipiona,Cádiz,Chipiona,11016,Andalucía
Chiprana,Zaragoza,Chiprana,50092,Aragón
Chirivel,Almería,Chirivel,4037,Andalucía
Chiva,Valencia,Chiva,46111,Comunidad Valenciana
Chodes,Zaragoza,Chodes,50093,Aragón
Chodos/Xodos,Castellón,Chodos/Xodos,12055,Comunidad Valenciana
Chóvar,Castellón,Chóvar,12056,Comunidad Valenciana
Chozas de Abajo,León,Chozas de Abajo,24065,Castilla y León
Chozas de Canales,Toledo,Chozas de Canales,45056,Castilla-La Mancha
Chucena,Huelva,Chucena,21030,Andalucía
Chueca,Toledo,Chueca,45057,Castilla-La Mancha
Chulilla,Valencia,Chulilla,46112,Comunidad Valenciana
Chumillas,Cuenca,Chumillas,16081,Castilla-La Mancha
Churriana de la Vega,Granada,Churriana de la Vega,18062,Andalucía
Ciadoncha,Burgos,Ciadoncha,9101,Castilla y León
Cidamón,La Rioja,Cidamón,26048,La Rioja
Cidones,Soria,Cidones,42061,Castilla y León
Ciempozuelos,Madrid,Ciempozuelos,28040,Comunidad de Madrid
