municipio,provincia,codigo_ine,num_universidades
Aldealafuente,Soria,42009,0
Aldealcorvo,Segovia,40006,0
Aldealengua,Salamanca,37016,0
Aldealengua de Pedraza,Segovia,40007,0
Aldealengua de Santa María,Segovia,40008,0
Aldealices,Soria,42010,0
Aldealpozo,Soria,42011,0
Aldealseñor,Soria,42012,0
Aldeamayor de San Martín,Valladolid,47007,0
Aldeanueva de Barbarroya,Toledo,45009,0
Aldeanueva de Ebro,La Rioja,26008,0
Aldeanueva de Figueroa,Salamanca,37017,0
Aldeanueva de Guadalajara,Guadalajara,19015,0
Aldeanueva de la Serrezuela,Segovia,40009,0
Aldeanueva de la Sierra,Salamanca,37018,0
Aldeanueva de la Vera,Cáceres,10014,0
Aldeanueva de San Bartolomé,Toledo,45010,0
Aldeanueva de Santa Cruz,Ávila,5007,0
Aldeanueva del Camino,Cáceres,10015,0
Aldeanueva del Codonal,Segovia,40010,0
Aldeaquemada,Jaén,23004,0
Aldearrodrigo,Salamanca,37019,0
Aldearrubia,Salamanca,37020,0
Aldeaseca,Ávila,5008,0
Aldeaseca de Alba,Salamanca,37021,0
Aldeaseca de la Frontera,Salamanca,37022,0
Aldeasoña,Segovia,40013,0
Aldeatejada,Salamanca,37023,0
Aldeavieja de Tormes,Salamanca,37024,0
Aldehorno,Segovia,40014,0
Aldehuela (La),Ávila,5010,0
Aldehuela de Jerte,Cáceres,10016,0
Aldehuela de la Bóveda,Salamanca,37025,0
Aldehuela de Liestos,Zaragoza,50016,0
Aldehuela de Periáñez,Soria,42013,0
Aldehuela de Yeltes,Salamanca,37026,0
Aldehuela del Codonal,Segovia,40015,0
Aldehuelas (Las),Soria,42014,0
Aldeire,Granada,18010,0
Aldeonte,Segovia,40016,0
Aldover,Tarragona,43006,0
Aledo,Murcia,30006,0
Alegia,Gipuzkoa,20005,0
Alegría-Dulantzi,Álava,1001,0
Aleixar (L'),Tarragona,43007,0
Alella,Barcelona,8003,0
Alentisque,Soria,42015,0
Alerre,Huesca,22019,0
Alesanco,La Rioja,26009,0
Alesón,La Rioja,26010,0
Alfacar,Granada,18011,0
Alfafar,Valencia,46022,0
Alfafara,Alicante,3010,0
Alfajarín,Zaragoza,50017,0
Alfambra,Teruel,44016,0
Alfamén,Zaragoza,50018,0
Alfántega,Huesca,22020,0
Alfara de Carles,Tarragona,43008,0
Alfara de la Baronia,Valencia,46024,0
Alfara del Patriarca,Valencia,46025,1
Alfaraz de Sayago,Zamora,49005,0
Alfarnate,Málaga,29003,0
Alfarnatejo,Málaga,29004,0
Alfaro,La Rioja,26011,0
Alfarp,Valencia,46026,0
Alfarràs,Lleida,25013,0
Alfarrasí,Valencia,46027,0
Alfàs del Pi (L'),Alicante,3011,0
Alfauir,Valencia,46023,0
Alfés,Lleida,25014,0
Alfondeguilla,Castellón,12007,0
Alforja,Tarragona,43009,0
Alforque,Zaragoza,50019,0
Alfoz,Lugo,27002,0
Alfoz de Bricia,Burgos,9011,0
Alfoz de Lloredo,Cantabria,39001,0
Alfoz de Quintanadueñas,Burgos,9907,0
Alfoz de Santa Gadea,Burgos,9012,0
Algaba (La),Sevilla,41007,0
Algadefe,León,24002,0
Algaida,Illes Balears,7004,0
Algámitas,Sevilla,41008,0
Algar,Cádiz,11003,0
Algar de Mesa,Guadalajara,19016,0
Algar de Palancia,Valencia,46028,0
Algarinejo,Granada,18012,0
Algarra,Cuenca,16013,0
Algarrobo,Málaga,29005,0
Algatocín,Málaga,29006,0
Algeciras,Cádiz,11004,1
Algemesí,Valencia,46029,0
Algerri,Lleida,25015,0
Algete,Madrid,28009,0
Algímia d'Alfara,Valencia,46030,0
Algimia de Almonacid,Castellón,12008,0
Alginet,Valencia,46031,0
Algodonales,Cádiz,11005,0
Algodre,Zamora,49006,0
Algora,Guadalajara,19017,0
Algorfa,Alicante,3012,0
Alguaire,Lleida,25016,0
Alguazas,Murcia,30007,0
Algueña,Alicante,3013,0
Alhabia,Almería,4010,0
Alhama de Almería,Almería,4011,0
Alhama de Aragón,Zaragoza,50020,0
Alhama de Granada,Granada,18013,0
Alhama de Murcia,Murcia,30008,0
Alhambra,Ciudad Real,13010,0
Alhaurín de la Torre,Málaga,29007,0
Alhaurín el Grande,Málaga,29008,0
Alhendín,Granada,18014,0
Alhóndiga,Guadalajara,19018,0
Alía,Cáceres,10017,0
Aliaga,Teruel,44017,0
Aliaguilla,Cuenca,16014,0
Alicante/Alacant,Alicante,3014,1
Alicún,Almería,4012,0
Alicún de Ortega,Granada,18015,0
Alija del Infantado,León,24003,0
Alins,Lleida,25017,0
Alió,Tarragona,43010,0
Alique,Guadalajara,19019,0
Aliseda,Cáceres,10018,0
Aliud,Soria,42016,0
Aljaraque,Huelva,21002,0
Aljucén,Badajoz,6009,0
Alkiza,Gipuzkoa,20006,0
Allande,Asturias,33001,0
Allariz,Ourense,32001,0
Allepuz,Teruel,44021,0
Aller,Asturias,33002,0
Allín/Allin,Navarra,31011,0
Allo,Navarra,31012,0
Alloza,Teruel,44022,0
Allueva,Teruel,44023,0
Almacelles,Lleida,25019,0
Almáchar,Málaga,29009,0
Almadén,Ciudad Real,13011,1
Almadén de la Plata,Sevilla,41009,0
Almadenejos,Ciudad Real,13012,0
Almadrones,Guadalajara,19020,0
Almagro,Ciudad Real,13013,0
Almajano,Soria,42017,0
Almaluez,Soria,42018,0
Almansa,Albacete,2009,0
Almanza,León,24004,0
Almaraz,Cáceres,10019,0
Almaraz de Duero,Zamora,49007,0
Almarcha (La),Cuenca,16015,0
Almargen,Málaga,29010,0
Almarza,Soria,42019,0
Almarza de Cameros,La Rioja,26012,0
Almàssera,Valencia,46032,0
Almassora,Castellón,12009,0
Almatret,Lleida,25020,0
Almazán,Soria,42020,0
Almazul,Soria,42021,0
Almedíjar,Castellón,12010,0
Almedina,Ciudad Real,13014,0
Almedinilla,Córdoba,14004,0
Almegíjar,Granada,18016,0
Almeida de Sayago,Zamora,49008,0
Almenar,Lleida,25021,0
Almenar de Soria,Soria,42022,0
Almenara,Castellón,12011,0
Almenara de Adaja,Valladolid,47008,0
Almenara de Tormes,Salamanca,37027,0
Almendra,Salamanca,37028,0
Almendral,Badajoz,6010,0
Almendral de la Cañada,Toledo,45011,0
Almendralejo,Badajoz,6011,1
Almendro (El),Huelva,21003,0
Almendros,Cuenca,16016,0
Almensilla,Sevilla,41010,0
Almería,Almería,4013,1
Almiserà,Valencia,46033,0
Almochuel,Zaragoza,50021,0
Almócita,Almería,4014,0
Almodóvar del Campo,Ciudad Real,13015,0
Almodóvar del Pinar,Cuenca,16017,0
Almodóvar del Río,Córdoba,14005,0
Almogía,Málaga,29011,0
Almoguera,Guadalajara,19021,0
Almohaja,Teruel,44018,0
Almoharín,Cáceres,10020,0
Almoines,Valencia,46034,0
Almolda (La),Zaragoza,50022,0
Almonacid de la Cuba,Zaragoza,50023,0
Almonacid de la Sierra,Zaragoza,50024,0
Almonacid de Toledo,Toledo,45012,0
Almonacid de Zorita,Guadalajara,19022,0
Almonacid del Marquesado,Cuenca,16018,0
Almonaster la Real,Huelva,21004,0
Almonte,Huelva,21005,0
Almoradí,Alicante,3015,0
Almorox,Toledo,45013,0
Almoster,Tarragona,43011,0
Almudaina,Alicante,3016,0
Almudévar,Huesca,22021,0
Almunia de Doña Godina (La),Zaragoza,50025,1
Almunia de San Juan,Huesca,22022,0
Almuniente,Huesca,22023,0
Almuñécar,Granada,18017,0
Almuradiel,Ciudad Real,13016,0
Almussafes,Valencia,46035,1
Alobras,Teruel,44019,0
Alocén,Guadalajara,19023,0
Alonsotegi,Bizkaia,48912,0
Álora,Málaga,29012,0
Alòs de Balaguer,Lleida,25022,0
Alosno,Huelva,21006,0
Alovera,Guadalajara,19024,0
Alozaina,Málaga,29013,0
Alp,Girona,17006,0
Alpandeire,Málaga,29014,0
Alpanseque,Soria,42023,0
Alpartir,Zaragoza,50026,0
Alpedrete,Madrid,28010,0
Alpens,Barcelona,8004,0
Alpeñés,Teruel,44020,0
Alpera,Albacete,2010,0
Alpicat,Lleida,25023,0
Alpuente,Valencia,46036,0
Alpujarra de la Sierra,Granada,18904,0
Alqueria d'Asnar (L'),Alicante,3017,0
Alqueria de la Comtessa (L'),Valencia,46037,0
