municipio,provincia,municipio_nombre_humano,lat,lon,kms_capital_provincia
Llíber,Alicante,Llíber,38.74272,0.006,76.543447
Lorcha/Orxa (l'),Alicante,L' Lorcha/Orxa,38.360892,-0.486281,94
Millena,Alicante,Millena,38.73082,-0.36274,71.41637300000001
Monforte del Cid,Alicante,Monforte del Cid,38.379799,-0.722666,25.104011
Monóvar/Monòver,Alicante,Monóvar/Monòver,38.436388,-0.840944,44.194868
Montesinos (Los),Alicante,Los Montesinos,38.027433,-0.745376,67.420722
Murla,Alicante,Murla,38.76037,-0.08208,85.453259
Muro de Alcoy,Alicante,Muro de Alcoy,38.780312,-0.440017,67.981424
Mutxamel,Alicante,Mutxamel,38.407895,-0.448889,8.912436
Novelda,Alicante,Novelda,38.385706,-0.768862,30.230079999999997
Nucia (la),Alicante,La Nucia,38.599959,-0.132423,48.804370999999996
Ondara,Alicante,Ondara,38.824783,0.020541,84.62416
Onil,Alicante,Onil,38.628054,-0.675278,41.110531
Orba,Alicante,Orba,38.780068,-0.058304,93.103729
Orihuela,Alicante,Orihuela,38.082111,-0.946934,60.768522
Orxeta,Alicante,Orxeta,38.56397,-0.26299,39.421137
Parcent,Alicante,Parcent,38.7457,-0.064354,84.028656
Pedreguer,Alicante,Pedreguer,38.793927,0.035132,86.728323
Pego,Alicante,Pego,38.841697,-0.115876,101.160679
Penàguila,Alicante,Penàguila,38.68,-0.35845,66.78302400000001
Petrer,Alicante,Petrer,38.484322,-0.779674,42.241281
Pilar de la Horadada,Alicante,Pilar de la Horadada,37.862662,-0.788448,85.95315099999999
Pinós (el)/Pinoso,Alicante,El Pinós/Pinoso,38.400231,-1.043137,61.538406
Planes,Alicante,Planes,38.788175,-0.327363,78.68288700000001
Poblets (els),Alicante,Els Poblets,38.85381,0.02103,91.338903
Polop,Alicante,Polop,38.620263,-0.133733,51.129526
Quatretondeta,Alicante,Quatretondeta,38.72415,-0.31669,74.92660400000001
Rafal,Alicante,Rafal,38.103409,-0.848648,53.093428
Ràfol d'Almúnia (el),Alicante,El Ràfol d'Almúnia,38.8212,-0.05171,91.369315
Redován,Alicante,Redován,38.113556,-0.906116,55.206943
Relleu,Alicante,Relleu,38.588602,-0.310327,38.353189
Rojales,Alicante,Rojales,38.084971,-0.711904,59.724775
Romana (la),Alicante,La Romana,38.36667,-0.9,44.391231999999995
Sagra,Alicante,Sagra,38.817249,-0.068787,93.746493
Salinas,Alicante,Salinas,38.520186,-0.911996,57.348793
San Fulgencio,Alicante,San Fulgencio,38.11362,-0.717969,59.274578
San Isidro,Alicante,San Isidro,38.172481,-0.839029,45.227779000000005
San Miguel de Salinas,Alicante,San Miguel de Salinas,37.97764,-0.789116,70.48200999999999
San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig,38.360892,-0.486281,10
Sanet y Negrals,Alicante,Sanet y Negrals,38.81967,-0.03406,89.81363499999999
Sant Joan d'Alacant,Alicante,Sant Joan d'Alacant,38.400609,-0.434204,8.556982
Santa Pola,Alicante,Santa Pola,38.194063,-0.554262,22.194
Sax,Alicante,Sax,38.534929,-0.820677,48.360684
Sella,Alicante,Sella,38.808107,0.053144,86.876051
Senija,Alicante,Senija,38.72804,0.04176,72.54229600000001
Tàrbena,Alicante,Tàrbena,38.69413,-0.10141,75.01777
Teulada,Alicante,Teulada,38.729169,0.10546,75.35283500000001
Tibi,Alicante,Tibi,38.53353,-0.576694,28.745721999999997
Tollos,Alicante,Tollos,38.75629,-0.27466,81.437709
Tormos,Alicante,Tormos,38.80143,-0.0716,93.268135
Torremanzanas/Torre de les Maçanes (la),Alicante,La Torremanzanas/Torre de les Maçanes,38.604168,-0.415178,43.792407
Torrevieja,Alicante,Torrevieja,37.985608,-0.673845,70.393017
Vall d'Alcalà (la),Alicante,La Vall d'Alcalà,38.79477,-0.25138,87.378375
Vall de Gallinera,Alicante,Vall de Gallinera,38.82313,-0.2417,89.318352
Vall de Laguar (la),Alicante,La Vall de Laguar,38.781025,-0.124025,101.45252599999999
Vall d'Ebo (la),Alicante,La Vall d'Ebo,38.80561,-0.1589,97.134061
Verger (el),Alicante,El Verger,38.856576,0.013177,91.034999
Villajoyosa/Vila Joiosa (la),Alicante,La Villajoyosa/Vila Joiosa,38.508793,-0.231359,35.868801999999995
Villena,Alicante,Villena,38.634512,-0.864459,60.473504999999996
Xaló,Alicante,Xaló,38.739807,-0.01167,78.340239
Abla,Almería,Abla,37.141895,-2.778084,65.51177
Abrucena,Almería,Abrucena,37.133457,-2.796909,68.945212
Adra,Almería,Adra,36.748564,-3.017817,57.089915
Albanchez,Almería,Albanchez,37.28361,-2.18229,83.427069
Alboloduy,Almería,Alboloduy,37.03346,-2.62164,34.737629
Albox,Almería,Albox,37.390608,-2.14149,124.61324400000001
Alcolea,Almería,Alcolea,36.97458,-2.9615,81.63466700000001
Alcóntar,Almería,Alcóntar,37.257894,-2.606439,120.16114400000001
Alcudia de Monteagud,Almería,Alcudia de Monteagud,37.23529,-2.2665,71.819503
Alhabia,Almería,Alhabia,36.99003,-2.58655,28.120186
Alhama de Almería,Almería,Alhama de Almería,36.957334,-2.568298,23.502161
Alicún,Almería,Alicún,36.9658,-2.60212,28.91455
Almería,Almería,Almería,36.844845,-2.456009,0.0
Almócita,Almería,Almócita,37.00262,-2.79051,48.694133
Alsodux,Almería,Alsodux,37.00246,-2.59476,29.799826
Antas,Almería,Antas,37.251074,-1.912721,89.68304499999999
Arboleas,Almería,Arboleas,37.351749,-2.07427,115.315885
Armuña de Almanzora,Almería,Armuña de Almanzora,37.3503,-2.4115,98.13994
Bacares,Almería,Bacares,37.25984,-2.45308,77.881354
Balanegra,Almería,Balanegra,36.748857,-2.913608,46.699971
Bayárcal,Almería,Bayárcal,37.03073,-2.99606,121.904298
Bayarque,Almería,Bayarque,37.33062,-2.4361,91.80995200000001
Bédar,Almería,Bédar,37.19389,-1.98166,84.56125999999999
Beires,Almería,Beires,37.01237,-2.79134,49.561502
Benahadux,Almería,Benahadux,36.927292,-2.460343,12.181913
Benitagla,Almería,Benitagla,37.23138,-2.23935,68.40716
Benizalón,Almería,Benizalón,37.21213,-2.2418,64.07708799999999
Bentarique,Almería,Bentarique,36.98823,-2.61991,30.849625
Berja,Almería,Berja,36.844738,-2.94636,65.029213
Canjáyar,Almería,Canjáyar,37.00985,-2.740139,42.314903
Cantoria,Almería,Cantoria,37.351722,-2.193388,130.96858
Carboneras,Almería,Carboneras,36.999559,-1.893074,70.119144
Castro de Filabres,Almería,Castro de Filabres,37.18484,-2.44024,51.89519
Chercos,Almería,Chercos,37.2545,-2.26657,80.234883
Chirivel,Almería,Chirivel,37.596309,-2.271043,180.856316
Cóbdar,Almería,Cóbdar,37.26166,-2.21098,80.79222800000001
Cuevas del Almanzora,Almería,Cuevas del Almanzora,37.295319,-1.877738,100.43144000000001
Dalías,Almería,Dalías,36.820318,-2.87108,47.725277
Ejido (El),Almería,El Ejido,36.773918,-2.814736,40.258428
Enix,Almería,Enix,36.87732,-2.6018,28.542521
Felix,Almería,Felix,36.86911,-2.65845,26.685751
Fines,Almería,Fines,37.363771,-2.267433,133.86780900000002
Fiñana,Almería,Fiñana,37.169512,-2.839102,72.26101
Fondón,Almería,Fondón,36.9802,-2.85957,56.996815999999995
Gádor,Almería,Gádor,36.952951,-2.491341,16.505917
Gallardos (Los),Almería,Los Gallardos,37.168106,-1.940568,78.678171
