municipio,provincia,codigo_ine,municipio_nombre_humano,renta_bruta_media
Aldeamayor de San Martín,Valladolid,47007,Aldeamayor de San Martín,26614
Aldeanueva de Barbarroya,Toledo,45009,Aldeanueva de Barbarroya,18671
Aldeanueva de Ebro,La Rioja,26008,Aldeanueva de Ebro,21779
Aldeanueva de Figueroa,Salamanca,37017,Aldeanueva de Figueroa,17879
Aldeanueva de Guadalajara,Guadalajara,19015,Aldeanueva de Guadalajara,20180
Aldeanueva de la Serrezuela,Segovia,40009,Aldeanueva de la Serrezuela,21066
Aldeanueva de la Sierra,Salamanca,37018,Aldeanueva de la Sierra,17879
Aldeanueva de la Vera,Cáceres,10014,Aldeanueva de la Vera,16218
Aldeanueva de San Bartolomé,Toledo,45010,Aldeanueva de San Bartolomé,18671
Aldeanueva de Santa Cruz,Ávila,5007,Aldeanueva de Santa Cruz,17345
Aldeanueva del Camino,Cáceres,10015,Aldeanueva del Camino,15773
Aldeanueva del Codonal,Segovia,40010,Aldeanueva del Codonal,21066
Aldeaquemada,Jaén,23004,Aldeaquemada,14440
Aldearrodrigo,Salamanca,37019,Aldearrodrigo,17879
Aldearrubia,Salamanca,37020,Aldearrubia,17879
Aldeaseca,Ávila,5008,Aldeaseca,17345
Aldeaseca de Alba,Salamanca,37021,Aldeaseca de Alba,17879
Aldeaseca de la Frontera,Salamanca,37022,Aldeaseca de la Frontera,17879
Aldeasoña,Segovia,40013,Aldeasoña,21066
Aldeatejada,Salamanca,37023,Aldeatejada,29073
Aldeavieja de Tormes,Salamanca,37024,Aldeavieja de Tormes,17879
Aldehorno,Segovia,40014,Aldehorno,21066
Aldehuela (La),Ávila,5010,La Aldehuela,17345
Aldehuela de Jerte,Cáceres,10016,Aldehuela de Jerte,15773
Aldehuela de la Bóveda,Salamanca,37025,Aldehuela de la Bóveda,17879
Aldehuela de Liestos,Zaragoza,50016,Aldehuela de Liestos,19366
Aldehuela de Periáñez,Soria,42013,Aldehuela de Periáñez,19216
Aldehuela de Yeltes,Salamanca,37026,Aldehuela de Yeltes,17879
Aldehuela del Codonal,Segovia,40015,Aldehuela del Codonal,21066
Aldehuelas (Las),Soria,42014,Las Aldehuelas,19216
Aldeire,Granada,18010,Aldeire,16108
Aldeonte,Segovia,40016,Aldeonte,21066
Aldover,Tarragona,43006,Aldover,23434
Aledo,Murcia,30006,Aledo,19689
Alegia,Gipuzkoa,20005,Alegia,41148
Alegría-Dulantzi,Álava,1001,Alegría-Dulantzi,44332
Aleixar (L'),Tarragona,43007,L' Aleixar,23434
Alella,Barcelona,8003,Alella,53128
Alentisque,Soria,42015,Alentisque,19216
Alerre,Huesca,22019,Alerre,22933
Alesanco,La Rioja,26009,Alesanco,21118
Alesón,La Rioja,26010,Alesón,21118
Alfacar,Granada,18011,Alfacar,23078
Alfafar,Valencia,46022,Alfafar,21660
Alfafara,Alicante,3010,Alfafara,19603
Alfajarín,Zaragoza,50017,Alfajarín,25254
Alfambra,Teruel,44016,Alfambra,18797
Alfamén,Zaragoza,50018,Alfamén,17806
Alfántega,Huesca,22020,Alfántega,22933
Alfara de Carles,Tarragona,43008,Alfara de Carles,23434
Alfara de la Baronia,Valencia,46024,Alfara de la Baronia,20105
Alfara del Patriarca,Valencia,46025,Alfara del Patriarca,24452
Alfaraz de Sayago,Zamora,49005,Alfaraz de Sayago,16878
Alfarnate,Málaga,29003,Alfarnate,15474
Alfarnatejo,Málaga,29004,Alfarnatejo,15618
Alfaro,La Rioja,26011,Alfaro,26085
Alfarp,Valencia,46026,Alfarp,21499
Alfarràs,Lleida,25013,Alfarràs,23262
