municipio,provincia,municipio_nombre_humano,poblacion,superficie,densidad_poblacion
Albelda de Iregua,La Rioja,Albelda de Iregua,3484,23.0345,151.251383793874
Albendea,Cuenca,Albendea,122,38.1972,3.19395138910705
Albendiego,Guadalajara,Albendiego,45,22.9054,1.96460223353445
Albentosa,Teruel,Albentosa,294,67.89,4.33053468846664
Alberca (La),Salamanca,La Alberca,1065,60.97,17.4676070198458
Alberca de Záncara (La),Cuenca,La Alberca de Záncara,1581,100.62,15.7125819916518
Alberguería de Argañán (La),Salamanca,La Alberguería de Argañán,107,30.063,3.55919236270499
Alberic,Valencia,Alberic,10571,26.79,394.587532661441
Alberite,La Rioja,Alberite,2518,20.2354,124.435395396187
Alberite de San Juan,Zaragoza,Alberite de San Juan,77,11.2349,6.85364355713001
Albero Alto,Huesca,Albero Alto,118,19.28,6.12033195020747
Albero Bajo,Huesca,Albero Bajo,137,22.2206,6.16545007785568
Alberuela de Tubo,Huesca,Alberuela de Tubo,306,20.791,14.7179067865904
Albesa,Lleida,Albesa,1561,37.52,41.6044776119403
Albeta,Zaragoza,Albeta,140,2.70,51.8518518518519
Albi (L'),Lleida,L' Albi,749,32.72,22.8911980440098
Albillos,Burgos,Albillos,221,12.3629,17.8760646773815
Albinyana,Tarragona,Albinyana,2504,19.59,127.820316488004
Albiol (L'),Tarragona,L' Albiol,515,20.4,25.2450980392157
Albiztur,Gipuzkoa,Albiztur,316,13.01,24.2890084550346
Albocàsser,Castellón,Albocàsser,1253,82.2924,15.2261934273396
Alboloduy,Almería,Alboloduy,612,69.7345,8.77614380256544
Albolote,Granada,Albolote,19128,78.5841,243.408017652426
Albondón,Granada,Albondón,722,34.4798,20.9397966345512
Albons,Girona,Albons,798,11.3,70.6194690265487
Alborache,Valencia,Alborache,1283,27.3314,46.9423447024302
Alboraia/Alboraya,Valencia,Alboraia/Alboraya,24904,8.35,2982.51497005988
Alborea,Albacete,Alborea,670,71.87,9.32238764435787
Alborge,Zaragoza,Alborge,111,4.8438,22.9158924811099
Albornos,Ávila,Albornos,172,17.0997,10.0586559998129
Albox,Almería,Albox,12070,168.3,71.7171717171717
Albudeite,Murcia,Albudeite,1388,17.08,81.2646370023419
