municipio,provincia,municipio_nombre_humano,codigo_INE,lat,lon,feb_avg_min_temp,feb_avg_max_temp,feb_avg_temp,feb_avg_humidity,feb_avg_wind,feb_avg_min_rain,feb_avg_max_rain,feb_avg_rain,feb_avg_clouds,feb_avg_sunshine_hours,jul_avg_min_temp,jul_avg_max_temp,jul_avg_temp,jul_avg_humidity,jul_avg_wind,jul_avg_min_rain,jul_avg_max_rain,jul_avg_rain,jul_avg_clouds,jul_avg_sunshine_hours
Adrada (La),Ávila,La Adrada,5002,40.30084,-4.635961,-2.11,18.04,7.71,70.46,11.52,0,3.0,0.04,29.26,119.4,14.3,38.49,27.05,36.06,10.33,0,3.0,0.01,5.5,357.0
Adrada de Haza,Burgos,Adrada de Haza,9003,41.59454,-3.82326,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3
Adrada de Pirón,Segovia,Adrada de Pirón,40002,41.05257,-4.05107,-3.63,17.89,7.29,71.71,10.87,0,3.0,0.04,28.94,122.1,13.56,38.27,26.79,35.39,9.68,0,3.0,0.02,5.98,347.5
Adradas,Soria,Adradas,42003,41.35098,-2.47373,-2.49,18.01,7.57,72.61,11.99,0,3.0,0.04,28.16,124.8,14.29,38.5,27.08,35.86,12.74,0,3.0,0.01,5.59,356.0
Adrados,Segovia,Adrados,40003,41.36816,-4.11186,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3
Aduna,Gipuzkoa,Aduna,20002,43.20375,-2.05033,-0.49,19.36,9.12,77.52,10.04,0,12.0,0.21,45.86,92.1,12.94,34.91,21.15,79.39,7.24,0,12.0,0.07,47.51,108.1
Agaete,Las Palmas,Agaete,35001,28.102968,-15.706137,12.91,23.98,18.16,64.59,23.44,0,3.0,0.01,38.68,57.0,19.42,32.12,23.59,65.83,38.7,0,0.3,0.0,28.81,49.7
Agallas,Salamanca,Agallas,37002,40.44867,-6.44176,-5.68,16.77,4.97,79.31,13.68,0,3.0,0.03,36.9,97.9,8.18,36.16,22.48,49.47,8.93,0,12.0,0.02,10.34,293.0
Àger,Lleida,Àger,25002,42.0,0.76667,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8
Agolada,Pontevedra,Agolada,36020,42.79254,-8.0504,-0.12,19.15,8.46,84.1,9.04,0,12.0,0.58,55.81,70.8,10.36,35.76,21.25,70.26,7.7,0,12.0,0.03,27.65,221.6
Agón,Zaragoza,Agón,50003,41.85574,-1.45233,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1
Agoncillo,La Rioja,Agoncillo,26002,42.445522,-2.29202,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Agost,Alicante,Agost,3002,38.435937,-0.638589,2.82,22.95,12.68,64.49,13.61,0,3.0,0.01,20.51,128.7,18.05,35.48,26.22,66.97,10.8,0,3.0,0.01,10.71,286.3
Agramunt,Lleida,Agramunt,25003,41.783427,1.10004,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8
Ágreda,Soria,Ágreda,42004,41.854918,-1.923529,-3.77,18.24,6.37,80.47,11.74,0,3.0,0.06,43.43,63.3,9.71,37.14,21.97,64.86,10.26,0,3.0,0.01,29.14,168.6
Agres,Alicante,Agres,3003,38.78333,-0.51667,2.82,22.95,12.68,64.49,13.61,0,3.0,0.01,20.51,128.7,18.05,35.48,26.22,66.97,10.8,0,3.0,0.01,10.71,286.3
Agrón,Granada,Agrón,18001,37.03023,-3.8287,-4.3,18.82,7.19,76.1,6.34,0,3.0,0.12,32.88,126.1,12.74,39.26,27.04,37.42,6.8,0,0.9,0.0,6.43,335.0
Aguadulce,Sevilla,Aguadulce,41001,37.254418,-4.988886,0.11,20.87,10.01,77.64,8.86,0,12.0,0.12,31.16,144.2,15.15,41.33,28.1,43.13,8.93,0,0.9,0.0,5.47,379.4
Aguarón,Zaragoza,Aguarón,50004,41.33901,-1.27055,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1
Aguas Cándidas,Burgos,Aguas Cándidas,9006,42.71652,-3.50258,-6.49,15.05,4.15,83.12,15.7,0,3.0,0.15,49.37,68.1,6.63,34.52,19.49,64.88,13.9,0,12.0,0.03,23.43,214.8
Aguasal,Valladolid,Aguasal,47002,41.27495,-4.6529,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3
Aguatón,Teruel,Aguatón,44003,40.67158,-1.23475,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1
Aguaviva,Teruel,Aguaviva,44004,40.822506,-0.198964,1.89,23.34,11.46,62.96,11.3,0,3.0,0.04,28.33,135.6,17.32,34.63,26.26,62.23,8.71,0,12.0,0.02,15.65,272.0
Agudo,Ciudad Real,Agudo,13002,38.981826,-4.87094,0.11,20.87,10.01,77.64,8.86,0,12.0,0.12,31.16,144.2,15.15,41.33,28.1,43.13,8.93,0,0.9,0.0,5.47,379.4
Agüero,Huesca,Agüero,22004,42.35505,-0.79324,-0.78,19.46,8.29,71.54,17.21,0,3.0,0.02,30.08,94.3,13.76,38.72,25.49,48.87,17.57,0,3.0,0.01,12.64,245.5
Aguilafuente,Segovia,Aguilafuente,40004,41.226206,-4.112444,-4.28,15.81,5.51,78.68,15.48,0,3.0,0.14,38.19,102.5,9.62,36.18,22.39,51.34,12.46,0,3.0,0.03,10.35,343.3
