municipio,provincia,municipio_nombre_humano,precio_m2_venta,num_casas_venta,precio_m2_alquiler,num_casas_alquiler,precio_m2_venta_provincia,precio_medio_venta_provincia,precio_m2_alquiler_provincia,precio_medio_alquiler_provincia
Alcalá de Henares,Madrid,Alcalá de Henares,2284.02,812,9.34,152,3314.0,343514,16.0,1414
Alcalá de la Selva,Teruel,Alcalá de la Selva,451.39,67,7.63,15,1068.0,103002,6.0,501
Alcalá de la Vega,Cuenca,Alcalá de la Vega,0,0,-,0,1139.0,119313,8.0,608
Alcalá de los Gazules,Cádiz,Alcalá de los Gazules,1030.67,93,4.88,3,1593.0,158397,9.0,712
Alcalá de Moncayo,Zaragoza,Alcalá de Moncayo,1051.42,6,-,0,1674.0,154117,9.0,720
Alcalà de Xivert,Castellón,Alcalà de Xivert,1661.11,449,-,0,1133.0,115966,8.0,653
Alcalá del Júcar,Albacete,Alcalá del Júcar,586.47,16,-,0,1300.0,152281,7.0,659
Alcalá del Obispo,Huesca,Alcalá del Obispo,358.57,6,-,0,1513.0,123979,8.0,636
Alcalá del Río,Sevilla,Alcalá del Río,876.49,163,5.4,7,1611.0,162042,10.0,821
Alcalá del Valle,Cádiz,Alcalá del Valle,642.39,17,4.74,2,1593.0,158397,9.0,712
Alcalá la Real,Jaén,Alcalá la Real,671.22,182,4.09,13,989.0,105216,6.0,496
Alcalalí,Alicante,Alcalalí,1660.47,93,-,0,1663.0,176931,9.0,845
Alcampell,Huesca,Alcampell,409.44,10,-,0,1513.0,123979,8.0,636
Alcanadre,La Rioja,Alcanadre,515.85,11,-,0,1457.0,148105,8.0,703
Alcanar,Tarragona,Alcanar,1332.45,586,7.43,7,1552.0,140182,9.0,736
Alcanó,Lleida,Alcanó,205.2,4,-,0,1159.0,114344,7.0,654
Alcántara,Cáceres,Alcántara,761.6,14,-,0,1132.0,119586,6.0,497
Alcantarilla,Murcia,Alcantarilla,979.35,580,5.73,19,1148.0,119550,9.0,792
Alcàntera de Xúquer,Valencia,Alcàntera de Xúquer,-,-,2.5,1,1445.0,163450,11.0,1042
Alcantud,Cuenca,Alcantud,445.71,3,-,0,1139.0,119313,8.0,608
Alcañices,Zamora,Alcañices,-,-,-,0,1151.0,118790,5.0,497
Alcañiz,Teruel,Alcañiz,820.12,104,6.09,12,1068.0,103002,6.0,501
Alcañizo,Toledo,Alcañizo,-,-,1.67,1,1023.0,103420,7.0,582
Alcaracejos,Córdoba,Alcaracejos,1448.25,16,-,0,1405.0,141657,7.0,645
Alcaraz,Albacete,Alcaraz,666.27,21,1.83,2,1300.0,152281,7.0,659
Alcarràs,Lleida,Alcarràs,-,-,5.89,5,1159.0,114344,7.0,654
Alcàsser,Valencia,Alcàsser,973.14,118,-,0,1445.0,163450,11.0,1042
Alcaucín,Málaga,Alcaucín,1188.79,157,5.93,7,2630.0,301594,11.0,1055
Alcaudete,Jaén,Alcaudete,435.21,105,4.43,6,989.0,105216,6.0,496
Alcaudete de la Jara,Toledo,Alcaudete de la Jara,398.61,61,5.0,1,1023.0,103420,7.0,582
Alcázar de San Juan,Ciudad Real,Alcázar de San Juan,736.85,347,6.06,41,936.0,96893,5.0,461
Alcázar del Rey,Cuenca,Alcázar del Rey,440.4,10,-,0,1139.0,119313,8.0,608
Alcazarén,Valladolid,Alcazarén,-,-,-,0,1497.0,151208,8.0,668
Alcázares (Los),Murcia,Los Alcázares,1679.98,1529,8.57,64,1148.0,119550,9.0,792
Alcoba,Ciudad Real,Alcoba,628.47,4,-,0,936.0,96893,5.0,461
Alcobendas,Madrid,Alcobendas,3045.4,311,-,94,3314.0,343514,16.0,1414
Alcocer,Guadalajara,Alcocer,469.83,9,-,0,1372.0,146012,8.0,691
Alcocer de Planes,Alicante,Alcocer de Planes,711.51,8,-,0,1663.0,176931,9.0,845
Alcocero de Mola,Burgos,Alcocero de Mola,252.25,3,-,0,1445.0,138383,8.0,633
Alcohujate,Cuenca,Alcohujate,0,0,-,0,1139.0,119313,8.0,608
Alcolea,Almería,Alcolea,1127.31,32,-,0,1168.0,109377,8.0,668
Alcolea de Calatrava,Ciudad Real,Alcolea de Calatrava,579.46,28,-,0,936.0,96893,5.0,461
Alcolea de Cinca,Huesca,Alcolea de Cinca,404.38,11,-,0,1513.0,123979,8.0,636
Alcolea de las Peñas,Guadalajara,Alcolea de las Peñas,540.73,2,-,0,1372.0,146012,8.0,691
Alcolea de Tajo,Toledo,Alcolea de Tajo,-,-,-,0,1023.0,103420,7.0,582
Alcolea del Pinar,Guadalajara,Alcolea del Pinar,249.64,7,3.55,1,1372.0,146012,8.0,691
Alcolea del Río,Sevilla,Alcolea del Río,-,-,-,0,1611.0,162042,10.0,821
Alcoleja,Alicante,Alcoleja,-,-,-,0,1663.0,176931,9.0,845
Alcoletge,Lleida,Alcoletge,1621.87,32,6.12,3,1159.0,114344,7.0,654
Alcollarín,Cáceres,Alcollarín,242.7,5,-,0,1132.0,119586,6.0,497
Alconaba,Soria,Alconaba,-,-,-,0,1288.0,129163,7.0,604
Alconada,Salamanca,Alconada,240.0,1,-,0,1673.0,156058,9.0,801
Alconada de Maderuelo,Segovia,Alconada de Maderuelo,-,-,-,0,1329.0,133270,9.0,790
Alconchel,Badajoz,Alconchel,1147.31,19,-,0,1149.0,126096,7.0,530
Alconchel de Ariza,Zaragoza,Alconchel de Ariza,-,-,-,0,1674.0,154117,9.0,720
Alconchel de la Estrella,Cuenca,Alconchel de la Estrella,430.06,4,-,0,1139.0,119313,8.0,608
Alconera,Badajoz,Alconera,1300.0,1,-,0,1149.0,126096,7.0,530
Alcóntar,Almería,Alcóntar,298.3,1,-,0,1168.0,109377,8.0,668
Alcora (L'),Castellón,L' Alcora,-,-,-,0,1133.0,115966,8.0,653
Alcorcón,Madrid,Alcorcón,2424.09,395,10.49,81,3314.0,343514,16.0,1414
Alcorisa,Teruel,Alcorisa,-,-,-,0,1068.0,103002,6.0,501
Alcoroches,Guadalajara,Alcoroches,427.07,2,-,0,1372.0,146012,8.0,691
Alcover,Tarragona,Alcover,-,-,-,0,1552.0,140182,9.0,736
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,-,-,-,0,1663.0,176931,9.0,845
Alcubierre,Huesca,Alcubierre,375.18,4,-,0,1513.0,123979,8.0,636
Alcubilla de Avellaneda,Soria,Alcubilla de Avellaneda,-,-,-,0,1288.0,129163,7.0,604
Alcubilla de las Peñas,Soria,Alcubilla de las Peñas,-,-,-,0,1288.0,129163,7.0,604
Alcubilla de Nogales,Zamora,Alcubilla de Nogales,-,-,-,0,1151.0,118790,5.0,497
Alcubillas,Ciudad Real,Alcubillas,260.0,7,4.17,1,936.0,96893,5.0,461
Alcublas,Valencia,Alcublas,274.65,16,-,0,1445.0,163450,11.0,1042
Alcúdia,Illes Balears,Alcúdia,3515.58,399,-,0,3139.0,358810,14.0,1392
Alcúdia (L'),Valencia,L' Alcúdia,-,-,-,0,1445.0,163450,11.0,1042
Alcúdia de Crespins (L'),Valencia,L' Alcúdia de Crespins,-,-,-,0,1445.0,163450,11.0,1042
Alcudia de Monteagud,Almería,Alcudia de Monteagud,731.18,5,-,0,1168.0,109377,8.0,668
Alcudia de Veo,Castellón,Alcudia de Veo,1014.45,3,-,0,1133.0,115966,8.0,653
Alcuéscar,Cáceres,Alcuéscar,526.51,42,-,0,1132.0,119586,6.0,497
Aldaia,Valencia,Aldaia,1133.16,256,6.63,7,1445.0,163450,11.0,1042
Aldea (L'),Tarragona,L' Aldea,-,-,-,0,1552.0,140182,9.0,736
Aldea de San Miguel,Valladolid,Aldea de San Miguel,-,-,-,0,1497.0,151208,8.0,668
