municipio,provincia,codigo_ine,municipio_nombre_humano,num_colegios
Almonacid de Toledo,Toledo,45012,Almonacid de Toledo,1
Almonacid de Zorita,Guadalajara,19022,Almonacid de Zorita,1
Almonacid del Marquesado,Cuenca,16018,Almonacid del Marquesado,0
Almonaster la Real,Huelva,21004,Almonaster la Real,2
Almonte,Huelva,21005,Almonte,18
Almoradí,Alicante,3015,Almoradí,10
Almorox,Toledo,45013,Almorox,1
Almoster,Tarragona,43011,Almoster,2
Almudaina,Alicante,3016,Almudaina,0
Almudévar,Huesca,22021,Almudévar,3
Almunia de Doña Godina (La),Zaragoza,50025,La Almunia de Doña Godina,7
Almunia de San Juan,Huesca,22022,Almunia de San Juan,1
Almuniente,Huesca,22023,Almuniente,1
Almuñécar,Granada,18017,Almuñécar,22
Almuradiel,Ciudad Real,13016,Almuradiel,1
Almussafes,Valencia,46035,Almussafes,9
Alobras,Teruel,44019,Alobras,0
Alocén,Guadalajara,19023,Alocén,0
Alonsotegi,Bizkaia,48912,Alonsotegi,2
Álora,Málaga,29012,Álora,13
Alòs de Balaguer,Lleida,25022,Alòs de Balaguer,0
Alosno,Huelva,21006,Alosno,6
Alovera,Guadalajara,19024,Alovera,10
Alozaina,Málaga,29013,Alozaina,4
Alp,Girona,17006,Alp,2
Alpandeire,Málaga,29014,Alpandeire,0
Alpanseque,Soria,42023,Alpanseque,0
Alpartir,Zaragoza,50026,Alpartir,2
Alpedrete,Madrid,28010,Alpedrete,17
Alpens,Barcelona,8004,Alpens,2
Alpeñés,Teruel,44020,Alpeñés,0
Alpera,Albacete,2010,Alpera,4
Alpicat,Lleida,25023,Alpicat,6
Alpuente,Valencia,46036,Alpuente,2
