municipio,provincia,municipio_nombre_humano,codigo_INE
Aldeadávila de la Ribera,Salamanca,Aldeadávila de la Ribera,37014
Aldealafuente,Soria,Aldealafuente,42009
Aldealcorvo,Segovia,Aldealcorvo,40006
Aldealengua,Salamanca,Aldealengua,37016
Aldealengua de Pedraza,Segovia,Aldealengua de Pedraza,40007
Aldealengua de Santa María,Segovia,Aldealengua de Santa María,40008
Aldealices,Soria,Aldealices,42010
Aldealpozo,Soria,Aldealpozo,42011
Aldealseñor,Soria,Aldealseñor,42012
Aldeamayor de San Martín,Valladolid,Aldeamayor de San Martín,47007
Aldeanueva de Barbarroya,Toledo,Aldeanueva de Barbarroya,45009
Aldeanueva de Ebro,La Rioja,Aldeanueva de Ebro,26008
Aldeanueva de Figueroa,Salamanca,Aldeanueva de Figueroa,37017
Aldeanueva de Guadalajara,Guadalajara,Aldeanueva de Guadalajara,19015
Aldeanueva de la Serrezuela,Segovia,Aldeanueva de la Serrezuela,40009
Aldeanueva de la Sierra,Salamanca,Aldeanueva de la Sierra,37018
Aldeanueva de la Vera,Cáceres,Aldeanueva de la Vera,10014
Aldeanueva de San Bartolomé,Toledo,Aldeanueva de San Bartolomé,45010
Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz,5007
Aldeanueva del Camino,Cáceres,Aldeanueva del Camino,10015
Aldeanueva del Codonal,Segovia,Aldeanueva del Codonal,40010
Aldeaquemada,Jaén,Aldeaquemada,23004
Aldearrodrigo,Salamanca,Aldearrodrigo,37019
Aldearrubia,Salamanca,Aldearrubia,37020
Aldeaseca,Ávila,Aldeaseca,5008
Aldeaseca de Alba,Salamanca,Aldeaseca de Alba,37021
Aldeaseca de la Frontera,Salamanca,Aldeaseca de la Frontera,37022
Aldeasoña,Segovia,Aldeasoña,40013
Aldeatejada,Salamanca,Aldeatejada,37023
Aldeavieja de Tormes,Salamanca,Aldeavieja de Tormes,37024
Aldehorno,Segovia,Aldehorno,40014
Aldehuela (La),Ávila,La Aldehuela,5010
Aldehuela de Jerte,Cáceres,Aldehuela de Jerte,10016
Aldehuela de la Bóveda,Salamanca,Aldehuela de la Bóveda,37025
Aldehuela de Liestos,Zaragoza,Aldehuela de Liestos,50016
Aldehuela de Periáñez,Soria,Aldehuela de Periáñez,42013
Aldehuela de Yeltes,Salamanca,Aldehuela de Yeltes,37026
Aldehuela del Codonal,Segovia,Aldehuela del Codonal,40015
Aldehuelas (Las),Soria,Las Aldehuelas,42014
Aldeire,Granada,Aldeire,18010
Aldeonte,Segovia,Aldeonte,40016
Aldover,Tarragona,Aldover,43006
Aledo,Murcia,Aledo,30006
Alegia,Gipuzkoa,Alegia,20005
Alegría-Dulantzi,Álava,Alegría-Dulantzi,1001
Aleixar (L'),Tarragona,L' Aleixar,43007
Alella,Barcelona,Alella,8003
Alentisque,Soria,Alentisque,42015
Alerre,Huesca,Alerre,22019
Alesanco,La Rioja,Alesanco,26009
Alesón,La Rioja,Alesón,26010
Alfacar,Granada,Alfacar,18011
Alfafar,Valencia,Alfafar,46022
Alfafara,Alicante,Alfafara,3010
Alfajarín,Zaragoza,Alfajarín,50017
Alfambra,Teruel,Alfambra,44016
Alfamén,Zaragoza,Alfamén,50018
Alfántega,Huesca,Alfántega,22020
Alfara de Carles,Tarragona,Alfara de Carles,43008
Alfara de la Baronia,Valencia,Alfara de la Baronia,46024
Alfara del Patriarca,Valencia,Alfara del Patriarca,46025
Alfaraz de Sayago,Zamora,Alfaraz de Sayago,49005
Alfarnate,Málaga,Alfarnate,29003
Alfarnatejo,Málaga,Alfarnatejo,29004
Alfaro,La Rioja,Alfaro,26011
Alfarp,Valencia,Alfarp,46026
Alfarràs,Lleida,Alfarràs,25013
Alfarrasí,Valencia,Alfarrasí,46027
Alfàs del Pi (l'),Alicante,L' Alfàs del Pi,3011
Alfauir,Valencia,Alfauir,46023
Alfés,Lleida,Alfés,25014
Alfondeguilla,Castellón,Alfondeguilla,12007
Alforja,Tarragona,Alforja,43009
Alforque,Zaragoza,Alforque,50019
Alfoz,Lugo,Alfoz,27002
Alfoz de Bricia,Burgos,Alfoz de Bricia,9011
Alfoz de Lloredo,Cantabria,Alfoz de Lloredo,39001
Alfoz de Quintanadueñas,Burgos,Alfoz de Quintanadueñas,9907
Alfoz de Santa Gadea,Burgos,Alfoz de Santa Gadea,9012
Algaba (La),Sevilla,La Algaba,41007
Algadefe,León,Algadefe,24002
Algaida,Illes Balears,Algaida,7004
Algámitas,Sevilla,Algámitas,41008
Algar,Cádiz,Algar,11003
Algar de Mesa,Guadalajara,Algar de Mesa,19016
Algar de Palancia,Valencia,Algar de Palancia,46028
Algarinejo,Granada,Algarinejo,18012
Algarra,Cuenca,Algarra,16013
Algarrobo,Málaga,Algarrobo,29005
Algatocín,Málaga,Algatocín,29006
Algeciras,Cádiz,Algeciras,11004
Algemesí,Valencia,Algemesí,46029
Algerri,Lleida,Algerri,25015
Algete,Madrid,Algete,28009
Algímia d'Alfara,Valencia,Algímia d'Alfara,46030
Algimia de Almonacid,Castellón,Algimia de Almonacid,12008
Alginet,Valencia,Alginet,46031
Algodonales,Cádiz,Algodonales,11005
Algodre,Zamora,Algodre,49006
Algora,Guadalajara,Algora,19017
Algorfa,Alicante,Algorfa,3012
Alguaire,Lleida,Alguaire,25016
Alguazas,Murcia,Alguazas,30007
Algueña,Alicante,Algueña,3013
Alhabia,Almería,Alhabia,4010
Alhama de Almería,Almería,Alhama de Almería,4011
Alhama de Aragón,Zaragoza,Alhama de Aragón,50020
Alhama de Granada,Granada,Alhama de Granada,18013
Alhama de Murcia,Murcia,Alhama de Murcia,30008
Alhambra,Ciudad Real,Alhambra,13010
Alhaurín de la Torre,Málaga,Alhaurín de la Torre,29007
Alhaurín el Grande,Málaga,Alhaurín el Grande,29008
Alhendín,Granada,Alhendín,18014
Alhóndiga,Guadalajara,Alhóndiga,19018
Alía,Cáceres,Alía,10017
Aliaga,Teruel,Aliaga,44017
Aliaguilla,Cuenca,Aliaguilla,16014
Alicante/Alacant,Alicante,Alicante/Alacant,3014
Alicún,Almería,Alicún,4012
Alicún de Ortega,Granada,Alicún de Ortega,18015
Alija del Infantado,León,Alija del Infantado,24003
Alins,Lleida,Alins,25017
Alió,Tarragona,Alió,43010
Alique,Guadalajara,Alique,19019
Aliseda,Cáceres,Aliseda,10018
Aliud,Soria,Aliud,42016
Aljaraque,Huelva,Aljaraque,21002
Aljucén,Badajoz,Aljucén,6009
Alkiza,Gipuzkoa,Alkiza,20006
Allande,Asturias,Allande,33001
Allariz,Ourense,Allariz,32001
Allepuz,Teruel,Allepuz,44021
Aller,Asturias,Aller,33002
Allín/Allin,Navarra,Allín/Allin,31011
Allo,Navarra,Allo,31012
Alloza,Teruel,Alloza,44022
Allueva,Teruel,Allueva,44023
Almacelles,Lleida,Almacelles,25019
Almáchar,Málaga,Almáchar,29009
Almadén,Ciudad Real,Almadén,13011
Almadén de la Plata,Sevilla,Almadén de la Plata,41009
Almadenejos,Ciudad Real,Almadenejos,13012
Almadrones,Guadalajara,Almadrones,19020
Almagro,Ciudad Real,Almagro,13013
Almajano,Soria,Almajano,42017
Almaluez,Soria,Almaluez,42018
Almansa,Albacete,Almansa,2009
Almanza,León,Almanza,24004
Almaraz,Cáceres,Almaraz,10019
Almaraz de Duero,Zamora,Almaraz de Duero,49007
Almarcha (La),Cuenca,La Almarcha,16015
Almargen,Málaga,Almargen,29010
Almarza,Soria,Almarza,42019
Almarza de Cameros,La Rioja,Almarza de Cameros,26012
Almàssera,Valencia,Almàssera,46032
Almassora,Castellón,Almassora,12009
Almatret,Lleida,Almatret,25020
Almazán,Soria,Almazán,42020
Almazul,Soria,Almazul,42021
Almedíjar,Castellón,Almedíjar,12010
Almedina,Ciudad Real,Almedina,13014
Almedinilla,Córdoba,Almedinilla,14004
Almegíjar,Granada,Almegíjar,18016
Almeida de Sayago,Zamora,Almeida de Sayago,49008
Almenar,Lleida,Almenar,25021
Almenar de Soria,Soria,Almenar de Soria,42022
Almenara,Castellón,Almenara,12011
Almenara de Adaja,Valladolid,Almenara de Adaja,47008
Almenara de Tormes,Salamanca,Almenara de Tormes,37027
Almendra,Salamanca,Almendra,37028
Almendral,Badajoz,Almendral,6010
Almendral de la Cañada,Toledo,Almendral de la Cañada,45011
Almendralejo,Badajoz,Almendralejo,6011
Almendro (El),Huelva,El Almendro,21003
Almendros,Cuenca,Almendros,16016
Almensilla,Sevilla,Almensilla,41010
Almería,Almería,Almería,4013
Almiserà,Valencia,Almiserà,46033
Almochuel,Zaragoza,Almochuel,50021
Almócita,Almería,Almócita,4014
Almodóvar del Campo,Ciudad Real,Almodóvar del Campo,13015
Almodóvar del Pinar,Cuenca,Almodóvar del Pinar,16017
Almodóvar del Río,Córdoba,Almodóvar del Río,14005
Almogía,Málaga,Almogía,29011
Almoguera,Guadalajara,Almoguera,19021
Almohaja,Teruel,Almohaja,44018
Almoharín,Cáceres,Almoharín,10020
Almoines,Valencia,Almoines,46034
Almolda (La),Zaragoza,La Almolda,50022
Almonacid de la Cuba,Zaragoza,Almonacid de la Cuba,50023
Almonacid de la Sierra,Zaragoza,Almonacid de la Sierra,50024
Almonacid de Toledo,Toledo,Almonacid de Toledo,45012
Almonacid de Zorita,Guadalajara,Almonacid de Zorita,19022
Almonacid del Marquesado,Cuenca,Almonacid del Marquesado,16018
Almonaster la Real,Huelva,Almonaster la Real,21004
Almonte,Huelva,Almonte,21005
Almoradí,Alicante,Almoradí,3015
Almorox,Toledo,Almorox,45013
Almoster,Tarragona,Almoster,43011
Almudaina,Alicante,Almudaina,3016
Almudévar,Huesca,Almudévar,22021
Almunia de Doña Godina (La),Zaragoza,La Almunia de Doña Godina,50025
Almunia de San Juan,Huesca,Almunia de San Juan,22022
Almuniente,Huesca,Almuniente,22023
Almuñécar,Granada,Almuñécar,18017
Almuradiel,Ciudad Real,Almuradiel,13016
Almussafes,Valencia,Almussafes,46035
Alobras,Teruel,Alobras,44019
Alocén,Guadalajara,Alocén,19023
Alonsotegi,Bizkaia,Alonsotegi,48912
Álora,Málaga,Álora,29012
Alòs de Balaguer,Lleida,Alòs de Balaguer,25022
Alosno,Huelva,Alosno,21006
Alovera,Guadalajara,Alovera,19024
Alozaina,Málaga,Alozaina,29013
Alp,Girona,Alp,17006
Alpandeire,Málaga,Alpandeire,29014
Alpanseque,Soria,Alpanseque,42023
Alpartir,Zaragoza,Alpartir,50026
Alpedrete,Madrid,Alpedrete,28010
Alpens,Barcelona,Alpens,8004
Alpeñés,Teruel,Alpeñés,44020
Alpera,Albacete,Alpera,2010
Alpicat,Lleida,Alpicat,25023
Alpuente,Valencia,Alpuente,46036
Alpujarra de la Sierra,Granada,Alpujarra de la Sierra,18904
Alqueria d'Asnar (l'),Alicante,L' Alqueria d'Asnar,3017
Alqueria de la Comtessa (l'),Valencia,L' Alqueria de la Comtessa,46037
Alqueries (les)/Alquerías del Niño Perdido,Castellón,les Alqueries/Alquerías del Niño Perdido,12901
Alquézar,Huesca,Alquézar,22024
Alquife,Granada,Alquife,18018
Alsodux,Almería,Alsodux,4015
Alt Àneu,Lleida,Alt Àneu,25024
Altable,Burgos,Altable,9013
Altafulla,Tarragona,Altafulla,43012
Altarejos,Cuenca,Altarejos,16019
Altea,Alicante,Altea,3018
Altorricón,Huesca,Altorricón,22025
Altos (Los),Burgos,Los Altos,9014
Altsasu/Alsasua,Navarra,Altsasu/Alsasua,31010
Altura,Castellón,Altura,12012
Altzaga,Gipuzkoa,Altzaga,20906
Altzo,Gipuzkoa,Altzo,20007
Alustante,Guadalajara,Alustante,19027
Alzira,Valencia,Alzira,46017
Amavida,Ávila,Amavida,5012
