codigo_ine,num_centros_salud,num_centros_urgencias,num_hospitales,num_colegios,num_universidades,linea_costa_provincia,linea_montana_provincia,poblacion,superficie,densidad_poblacion,feb_avg_min_temp,feb_avg_max_temp,feb_avg_temp,feb_avg_humidity,feb_avg_wind,feb_avg_min_rain,feb_avg_max_rain,feb_avg_rain,feb_avg_clouds,feb_avg_sunshine_hours,jul_avg_min_temp,jul_avg_max_temp,jul_avg_temp,jul_avg_humidity,jul_avg_wind,jul_avg_min_rain,jul_avg_max_rain,jul_avg_rain,jul_avg_clouds,jul_avg_sunshine_hours,kms_capital_provincia,altitud,renta_bruta_media,precio_m2_venta,num_casas_venta,precio_m2_alquiler,num_casas_alquiler,precio_m2_venta_provincia,precio_medio_venta_provincia,precio_m2_alquiler_provincia,precio_medio_alquiler_provincia,tasa_actividad_provincia,tasa_paro_provincia,tasa_empleo_provincia,num_empleos_provincia,cobertura_30,cobertura_100,cobertura_3g,cobertura_4g,sitios_comercio,sitios_turismo,sitios_alojamiento,sitios_ocio,sitios_natural,sitios_servicio,sitios_actividad,sitios_entretenimiento,sitios_catering,sitios_sport,sitios_edificio,sitios_acceso_limitado,sitios_artificial,sitios_acceso,sitios_sin_acceso,sitios_patrimonio,sitios_carretera,sitios_cuota,sitios_comodidad
24021,1,1,0,2,0,2,1,1819,180.62,10.07,-6.82,15.19,4.06,79.42,12.02,0,3.0,0.1,35.07,96.2,5.68,34.37,20.33,56.78,9.0,0,12.0,0.03,14.24,269.8,45.89,987,18955,765.88,44,0,0,1237,130467,6,586,53.21,10.62,47.56,660,46.63,0.0,98.53,78.42,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
15012,2,0,0,13,0,1,3,4186,73.18,57.2,1.15,18.2,9.8,81.19,12.71,0,12.0,0.16,46.29,57.5,11.34,32.72,19.48,78.74,9.94,0,12.0,0.02,37.93,131.8,88.84,307,21895,960.08,21,0,0,1583,156959,8,666,53.86,10.92,47.98,1466,91.64,4.27,99.6,99.61,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0
50053,1,0,0,1,0,2,1,778,18.87,41.23,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1,37.68,227,19366,0,0,0,0,1674,154117,9,720,59.3,8.5,54.26,1632,19.0,0.0,98.0,99.4,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
22068,1,0,0,0,0,2,1,83,41.72,1.99,-3.52,17.19,6.93,81.04,11.27,0,3.0,0.17,42.83,81.1,10.76,36.9,21.58,67.67,11.59,0,12.0,0.04,27.63,169.0,87.1,1008,22933,1146.16,2,0,0,1513,123979,8,636,57.78,10.87,51.5,526,100.0,100.0,100.0,100.0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
50054,1,0,0,0,0,2,1,51,41.58,1.23,-1.18,19.45,8.19,71.44,16.85,0,3.0,0.02,30.54,93.4,13.48,38.71,25.44,49.07,17.03,0,12.0,0.02,12.69,244.1,101.66,909,19366,0,0,0,0,1674,154117,9,720,59.3,8.5,54.26,1632,95.0,0.0,100.0,96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25057,0,0,0,1,0,2,1,285,21.67,13.15,-2.71,18.21,7.61,79.14,15.16,0,12.0,0.06,48.62,81.0,13.27,36.36,23.27,62.1,12.46,0,12.0,0.09,29.74,213.3,173.83,970,23784,1958.87,16,0,0,1159,114344,7,654,60.66,10.3,54.42,796,95.75,0.0,100.0,100.0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
17025,1,0,0,2,0,1,1,1796,6.99,256.94,0.78,18.94,10.33,72.33,11.23,0,12.0,0.07,34.52,107.1,17.51,32.89,25.31,66.34,9.4,0,12.0,0.09,17.22,247.9,16.72,46,31289,2714.75,17,9.92,3,2169,193575,11,941,63.76,8.26,58.49,1248,95.0,88.0,100.0,100.0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
44044,1,0,0,0,0,2,1,116,29.98,3.87,1.89,23.34,11.46,62.96,11.3,0,3.0,0.04,28.33,135.6,17.32,34.63,26.26,62.23,8.71,0,12.0,0.02,15.65,272.0,120.63,838,18797,0,0,0,0,1068,103002,6,501,57.96,9.07,52.7,425,95.0,0.0,98.0,96.0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
29030,1,0,0,3,0,1,2,906,24.39,37.14,5.91,20.15,12.66,74.04,16.09,0,3.0,0.08,31.6,111.7,16.38,35.88,24.41,68.19,11.77,0,3.0,0.02,13.02,286.8,40.12,226,15618,1375.0,16,0,0,2630,301594,11,1055,56.97,17.76,46.85,1851,98.5,44.0,100.0,100.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25058,1,1,0,6,0,2,1,6195,61.66,100.47,-2.72,19.42,8.12,76.11,10.55,0,3.0,0.05,25.44,134.0,14.37,37.58,25.68,57.9,10.44,0,12.0,0.02,13.57,291.8,32.16,303,25230,503.57,57,0,0,1159,114344,7,654,60.66,10.3,54.42,796,87.0,87.0,100.0,100.0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
