codigo_ine,municipio,provincia,municipio_nombre_humano
13005,Alcázar de San Juan,Ciudad Real,Alcázar de San Juan
16010,Alcázar del Rey,Cuenca,Alcázar del Rey
47005,Alcazarén,Valladolid,Alcazarén
30902,Alcázares (Los),Murcia,Los Alcázares
13006,Alcoba,Ciudad Real,Alcoba
28006,Alcobendas,Madrid,Alcobendas
19009,Alcocer,Guadalajara,Alcocer
03007,Alcocer de Planes,Alicante,Alcocer de Planes
09010,Alcocero de Mola,Burgos,Alcocero de Mola
16011,Alcohujate,Cuenca,Alcohujate
04007,Alcolea,Almería,Alcolea
13007,Alcolea de Calatrava,Ciudad Real,Alcolea de Calatrava
22017,Alcolea de Cinca,Huesca,Alcolea de Cinca
19010,Alcolea de las Peñas,Guadalajara,Alcolea de las Peñas
45007,Alcolea de Tajo,Toledo,Alcolea de Tajo
19011,Alcolea del Pinar,Guadalajara,Alcolea del Pinar
41006,Alcolea del Río,Sevilla,Alcolea del Río
03008,Alcoleja,Alicante,Alcoleja
25012,Alcoletge,Lleida,Alcoletge
10009,Alcollarín,Cáceres,Alcollarín
42006,Alconaba,Soria,Alconaba
37012,Alconada,Salamanca,Alconada
40005,Alconada de Maderuelo,Segovia,Alconada de Maderuelo
06007,Alconchel,Badajoz,Alconchel
50015,Alconchel de Ariza,Zaragoza,Alconchel de Ariza
16012,Alconchel de la Estrella,Cuenca,Alconchel de la Estrella
06008,Alconera,Badajoz,Alconera
04008,Alcóntar,Almería,Alcóntar
12005,Alcora (L'),Castellón,L' Alcora
28007,Alcorcón,Madrid,Alcorcón
44014,Alcorisa,Teruel,Alcorisa
19013,Alcoroches,Guadalajara,Alcoroches
43005,Alcover,Tarragona,Alcover
03009,Alcoy/Alcoi,Alicante,Alcoy/Alcoi
22018,Alcubierre,Huesca,Alcubierre
42007,Alcubilla de Avellaneda,Soria,Alcubilla de Avellaneda
42008,Alcubilla de las Peñas,Soria,Alcubilla de las Peñas
49004,Alcubilla de Nogales,Zamora,Alcubilla de Nogales
13008,Alcubillas,Ciudad Real,Alcubillas
46018,Alcublas,Valencia,Alcublas
07003,Alcúdia,Islas Baleares,Alcúdia
46019,Alcúdia (L'),Valencia,L' Alcúdia
46020,Alcúdia de Crespins (L'),Valencia,L' Alcúdia de Crespins
04009,Alcudia de Monteagud,Almería,Alcudia de Monteagud
12006,Alcudia de Veo,Castellón,Alcudia de Veo
10010,Alcuéscar,Cáceres,Alcuéscar
46021,Aldaia,Valencia,Aldaia
43904,Aldea (L'),Tarragona,L' Aldea
47006,Aldea de San Miguel,Valladolid,Aldea de San Miguel
35020,Aldea de San Nicolás (La),Las Palmas,La Aldea de San Nicolás
10012,Aldea del Cano,Cáceres,Aldea del Cano
28008,Aldea del Fresno,Madrid,Aldea del Fresno
37015,Aldea del Obispo,Salamanca,Aldea del Obispo
10013,Aldea del Obispo (La),Cáceres,La Aldea del Obispo
13009,Aldea del Rey,Ciudad Real,Aldea del Rey
45008,Aldea en Cabo,Toledo,Aldea en Cabo
40012,Aldea Real,Segovia,Aldea Real
10011,Aldeacentenera,Cáceres,Aldeacentenera
37013,Aldeacipreste,Salamanca,Aldeacipreste
37014,Aldeadávila de la Ribera,Salamanca,Aldeadávila de la Ribera
42009,Aldealafuente,Soria,Aldealafuente
40006,Aldealcorvo,Segovia,Aldealcorvo
37016,Aldealengua,Salamanca,Aldealengua
40007,Aldealengua de Pedraza,Segovia,Aldealengua de Pedraza
40008,Aldealengua de Santa María,Segovia,Aldealengua de Santa María
42010,Aldealices,Soria,Aldealices
42011,Aldealpozo,Soria,Aldealpozo
42012,Aldealseñor,Soria,Aldealseñor
47007,Aldeamayor de San Martín,Valladolid,Aldeamayor de San Martín
45009,Aldeanueva de Barbarroya,Toledo,Aldeanueva de Barbarroya
26008,Aldeanueva de Ebro,La Rioja,Aldeanueva de Ebro
37017,Aldeanueva de Figueroa,Salamanca,Aldeanueva de Figueroa
19015,Aldeanueva de Guadalajara,Guadalajara,Aldeanueva de Guadalajara
40009,Aldeanueva de la Serrezuela,Segovia,Aldeanueva de la Serrezuela
37018,Aldeanueva de la Sierra,Salamanca,Aldeanueva de la Sierra
10014,Aldeanueva de la Vera,Cáceres,Aldeanueva de la Vera
45010,Aldeanueva de San Bartolomé,Toledo,Aldeanueva de San Bartolomé
05007,Aldeanueva de Santa Cruz,Ávila,Aldeanueva de Santa Cruz
10015,Aldeanueva del Camino,Cáceres,Aldeanueva del Camino
40010,Aldeanueva del Codonal,Segovia,Aldeanueva del Codonal
23004,Aldeaquemada,Jaén,Aldeaquemada
37019,Aldearrodrigo,Salamanca,Aldearrodrigo
37020,Aldearrubia,Salamanca,Aldearrubia
05008,Aldeaseca,Ávila,Aldeaseca
37021,Aldeaseca de Alba,Salamanca,Aldeaseca de Alba
37022,Aldeaseca de la Frontera,Salamanca,Aldeaseca de la Frontera
40013,Aldeasoña,Segovia,Aldeasoña
37023,Aldeatejada,Salamanca,Aldeatejada
37024,Aldeavieja de Tormes,Salamanca,Aldeavieja de Tormes
40014,Aldehorno,Segovia,Aldehorno
05010,Aldehuela (La),Ávila,La Aldehuela
10016,Aldehuela de Jerte,Cáceres,Aldehuela de Jerte
37025,Aldehuela de la Bóveda,Salamanca,Aldehuela de la Bóveda
50016,Aldehuela de Liestos,Zaragoza,Aldehuela de Liestos
42013,Aldehuela de Periáñez,Soria,Aldehuela de Periáñez
37026,Aldehuela de Yeltes,Salamanca,Aldehuela de Yeltes
40015,Aldehuela del Codonal,Segovia,Aldehuela del Codonal
42014,Aldehuelas (Las),Soria,Las Aldehuelas
18010,Aldeire,Granada,Aldeire
40016,Aldeonte,Segovia,Aldeonte
43006,Aldover,Tarragona,Aldover
30006,Aledo,Murcia,Aledo
20005,Alegia,Gipuzkoa,Alegia
01001,Alegría-Dulantzi,Álava,Alegría-Dulantzi
43007,Aleixar (L'),Tarragona,L' Aleixar
08003,Alella,Barcelona,Alella
42015,Alentisque,Soria,Alentisque
22019,Alerre,Huesca,Alerre
26009,Alesanco,La Rioja,Alesanco
26010,Alesón,La Rioja,Alesón
18011,Alfacar,Granada,Alfacar
46022,Alfafar,Valencia,Alfafar
03010,Alfafara,Alicante,Alfafara
50017,Alfajarín,Zaragoza,Alfajarín
44016,Alfambra,Teruel,Alfambra
50018,Alfamén,Zaragoza,Alfamén
22020,Alfántega,Huesca,Alfántega
43008,Alfara de Carles,Tarragona,Alfara de Carles
46024,Alfara de la Baronia,Valencia,Alfara de la Baronia
