municipio,provincia,municipio_nombre_humano,codigo_ine,linea_costa_provincia,linea_montana_provincia
Alcalá del Río,Sevilla,Alcalá del Río,41005,2,0
Alcalá del Valle,Cádiz,Alcalá del Valle,11002,1,0
Alcalá la Real,Jaén,Alcalá la Real,23002,2,2
Alcalalí,Alicante,Alcalalí,03006,1,3
Alcampell,Huesca,Alcampell,22016,2,1
Alcanadre,La Rioja,Alcanadre,26007,2,2
Alcanar,Tarragona,Alcanar,43004,1,2
Alcanó,Lleida,Alcanó,25010,2,1
Alcántara,Cáceres,Alcántara,10008,0,3
Alcantarilla,Murcia,Alcantarilla,30005,1,2
Alcàntera de Xúquer,Valencia,Alcàntera de Xúquer,46016,1,0
Alcantud,Cuenca,Alcantud,16009,2,2
Alcañices,Zamora,Alcañices,49003,3,2
Alcañiz,Teruel,Alcañiz,44013,2,1
Alcañizo,Toledo,Alcañizo,45005,0,2
Alcaracejos,Córdoba,Alcaracejos,14003,2,2
Alcaraz,Albacete,Alcaraz,02008,2,2
Alcarràs,Lleida,Alcarràs,25011,2,1
Alcàsser,Valencia,Alcàsser,46015,1,0
Alcaucín,Málaga,Alcaucín,29002,1,2
Alcaudete,Jaén,Alcaudete,23003,2,2
Alcaudete de la Jara,Toledo,Alcaudete de la Jara,45006,0,2
Alcázar de San Juan,Ciudad Real,Alcázar de San Juan,13005,3,2
Alcázar del Rey,Cuenca,Alcázar del Rey,16010,2,2
Alcazarén,Valladolid,Alcazarén,47005,3,0
Alcázares (Los),Murcia,Los Alcázares,30902,1,2
Alcoba,Ciudad Real,Alcoba,13006,3,2
Alcobendas,Madrid,Alcobendas,28006,3,2
Alcocer,Guadalajara,Alcocer,19009,0,1
Alcocer de Planes,Alicante,Alcocer de Planes,03007,1,3
Alcocero de Mola,Burgos,Alcocero de Mola,09010,2,2
Alcohujate,Cuenca,Alcohujate,16011,2,2
Alcolea,Almería,Alcolea,04007,1,2
Alcolea de Calatrava,Ciudad Real,Alcolea de Calatrava,13007,3,2
Alcolea de Cinca,Huesca,Alcolea de Cinca,22017,2,1
Alcolea de las Peñas,Guadalajara,Alcolea de las Peñas,19010,0,1
Alcolea de Tajo,Toledo,Alcolea de Tajo,45007,0,2
Alcolea del Pinar,Guadalajara,Alcolea del Pinar,19011,0,1
Alcolea del Río,Sevilla,Alcolea del Río,41006,2,0
Alcoleja,Alicante,Alcoleja,03008,1,3
Alcoletge,Lleida,Alcoletge,25012,2,1
Alcollarín,Cáceres,Alcollarín,10009,0,3
Alconaba,Soria,Alconaba,42006,3,1
Alconada,Salamanca,Alconada,37012,0,2
Alconada de Maderuelo,Segovia,Alconada de Maderuelo,40005,3,1
Alconchel,Badajoz,Alconchel,06007,3,0
Alconchel de Ariza,Zaragoza,Alconchel de Ariza,50015,2,1
Alconchel de la Estrella,Cuenca,Alconchel de la Estrella,16012,2,2
Alconera,Badajoz,Alconera,06008,3,0
Alcóntar,Almería,Alcóntar,04008,1,2
Alcora (L'),Castellón,L' Alcora,12005,1,2
Alcorcón,Madrid,Alcorcón,28007,3,2
Alcorisa,Teruel,Alcorisa,44014,2,1
Alcoroches,Guadalajara,Alcoroches,19013,0,1
Alcover,Tarragona,Alcover,43005,1,2
Alcoy/Alcoi,Alicante,Alcoy/Alcoi,03009,1,3
Alcubierre,Huesca,Alcubierre,22018,2,1
Alcubilla de Avellaneda,Soria,Alcubilla de Avellaneda,42007,3,1
Alcubilla de las Peñas,Soria,Alcubilla de las Peñas,42008,3,1
Alcubilla de Nogales,Zamora,Alcubilla de Nogales,49004,3,2
Alcubillas,Ciudad Real,Alcubillas,13008,3,2
Alcublas,Valencia,Alcublas,46018,1,0
Alcúdia,Illes Balears,Alcúdia,07003,1,2
Alcúdia (L'),Valencia,L' Alcúdia,46019,1,0
Alcúdia de Crespins (L'),Valencia,L' Alcúdia de Crespins,46020,1,0
Alcudia de Monteagud,Almería,Alcudia de Monteagud,04009,1,2
Alcudia de Veo,Castellón,Alcudia de Veo,12006,1,2
Alcuéscar,Cáceres,Alcuéscar,10010,0,3
Aldaia,Valencia,Aldaia,46021,1,0
Aldea (L'),Tarragona,L' Aldea,43904,1,2
Aldea de San Miguel,Valladolid,Aldea de San Miguel,47006,3,0
Aldea de San Nicolás (La),Las Palmas,La Aldea de San Nicolás,35020,1,2
Aldea del Cano,Cáceres,Aldea del Cano,10012,0,3
Aldea del Fresno,Madrid,Aldea del Fresno,28008,3,2
Aldea del Obispo,Salamanca,Aldea del Obispo,37015,0,2
Aldea del Obispo (La),Cáceres,La Aldea del Obispo,10013,0,3
Aldea del Rey,Ciudad Real,Aldea del Rey,13009,3,2
Aldea en Cabo,Toledo,Aldea en Cabo,45008,0,2
Aldea Real,Segovia,Aldea Real,40012,3,1
Aldeacentenera,Cáceres,Aldeacentenera,10011,0,3
Aldeacipreste,Salamanca,Aldeacipreste,37013,0,2
Aldeadávila de la Ribera,Salamanca,Aldeadávila de la Ribera,37014,0,2
Aldealafuente,Soria,Aldealafuente,42009,3,1
Aldealcorvo,Segovia,Aldealcorvo,40006,3,1
Aldealengua,Salamanca,Aldealengua,37016,0,2
Aldealengua de Pedraza,Segovia,Aldealengua de Pedraza,40007,3,1
Aldealengua de Santa María,Segovia,Aldealengua de Santa María,40008,3,1
Aldealices,Soria,Aldealices,42010,3,1
Aldealpozo,Soria,Aldealpozo,42011,3,1
Aldealseñor,Soria,Aldealseñor,42012,3,1
Aldeamayor de San Martín,Valladolid,Aldeamayor de San Martín,47007,3,0
Aldeanueva de Barbarroya,Toledo,Aldeanueva de Barbarroya,45009,0,2
Aldeanueva de Ebro,La Rioja,Aldeanueva de Ebro,26008,2,2
Aldeanueva de Figueroa,Salamanca,Aldeanueva de Figueroa,37017,0,2
Aldeanueva de Guadalajara,Guadalajara,Aldeanueva de Guadalajara,19015,0,1
Aldeanueva de la Serrezuela,Segovia,Aldeanueva de la Serrezuela,40009,3,1
Aldeanueva de la Sierra,Salamanca,Aldeanueva de la Sierra,37018,0,2
