municipio,provincia,municipio_nombre_humano,lat,lon
Planes,Alicante,Planes,38.788175,-0.327363
Poblets (els),Alicante,Els Poblets,38.85381,0.02103
Polop,Alicante,Polop,38.620263,-0.133733
Quatretondeta,Alicante,Quatretondeta,38.72415,-0.31669
Rafal,Alicante,Rafal,38.103409,-0.848648
Ràfol d'Almúnia (el),Alicante,El Ràfol d'Almúnia,38.8212,-0.05171
Redován,Alicante,Redován,38.113556,-0.906116
Relleu,Alicante,Relleu,38.588602,-0.310327
Rojales,Alicante,Rojales,38.084971,-0.711904
Romana (la),Alicante,La Romana,38.36667,-0.9
Sagra,Alicante,Sagra,38.817249,-0.068787
Salinas,Alicante,Salinas,38.520186,-0.911996
San Fulgencio,Alicante,San Fulgencio,38.11362,-0.717969
San Isidro,Alicante,San Isidro,38.172481,-0.839029
San Miguel de Salinas,Alicante,San Miguel de Salinas,37.97764,-0.789116
San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante,San Vicente del Raspeig/Sant Vicent del Raspeig,38.360892,-0.486281
Sanet y Negrals,Alicante,Sanet y Negrals,38.81967,-0.03406
Sant Joan d'Alacant,Alicante,Sant Joan d'Alacant,38.400609,-0.434204
Santa Pola,Alicante,Santa Pola,38.194063,-0.554262
Sax,Alicante,Sax,38.534929,-0.820677
Sella,Alicante,Sella,38.808107,0.053144
Senija,Alicante,Senija,38.72804,0.04176
Tàrbena,Alicante,Tàrbena,38.69413,-0.10141
Teulada,Alicante,Teulada,38.729169,0.10546
Tibi,Alicante,Tibi,38.53353,-0.576694
Tollos,Alicante,Tollos,38.75629,-0.27466
Tormos,Alicante,Tormos,38.80143,-0.0716
Torremanzanas/Torre de les Maçanes (la),Alicante,La Torremanzanas/Torre de les Maçanes,38.604168,-0.415178
Torrevieja,Alicante,Torrevieja,37.985608,-0.673845
Vall d'Alcalà (la),Alicante,La Vall d'Alcalà,38.79477,-0.25138
Vall de Gallinera,Alicante,Vall de Gallinera,38.82313,-0.2417
Vall de Laguar (la),Alicante,La Vall de Laguar,38.781025,-0.124025
Vall d'Ebo (la),Alicante,La Vall d'Ebo,38.80561,-0.1589
Verger (el),Alicante,El Verger,38.856576,0.013177
Villajoyosa/Vila Joiosa (la),Alicante,La Villajoyosa/Vila Joiosa,38.508793,-0.231359
Villena,Alicante,Villena,38.634512,-0.864459
Xaló,Alicante,Xaló,38.739807,-0.01167
Abla,Almería,Abla,37.141895,-2.778084
Abrucena,Almería,Abrucena,37.133457,-2.796909
Adra,Almería,Adra,36.748564,-3.017817
Albanchez,Almería,Albanchez,37.28361,-2.18229
Alboloduy,Almería,Alboloduy,37.03346,-2.62164
Albox,Almería,Albox,37.390608,-2.14149
Alcolea,Almería,Alcolea,36.97458,-2.9615
Alcóntar,Almería,Alcóntar,37.257894,-2.606439
Alcudia de Monteagud,Almería,Alcudia de Monteagud,37.23529,-2.2665
Alhabia,Almería,Alhabia,36.99003,-2.58655
Alhama de Almería,Almería,Alhama de Almería,36.957334,-2.568298
Alicún,Almería,Alicún,36.9658,-2.60212
Almería,Almería,Almería,36.844845,-2.456009
Almócita,Almería,Almócita,37.00262,-2.79051
Alsodux,Almería,Alsodux,37.00246,-2.59476
Antas,Almería,Antas,37.251074,-1.912721
Arboleas,Almería,Arboleas,37.351749,-2.07427
Armuña de Almanzora,Almería,Armuña de Almanzora,37.3503,-2.4115
Bacares,Almería,Bacares,37.25984,-2.45308
Balanegra,Almería,Balanegra,36.748857,-2.913608
Bayárcal,Almería,Bayárcal,37.03073,-2.99606
Bayarque,Almería,Bayarque,37.33062,-2.4361
Bédar,Almería,Bédar,37.19389,-1.98166
Beires,Almería,Beires,37.01237,-2.79134
Benahadux,Almería,Benahadux,36.927292,-2.460343
Benitagla,Almería,Benitagla,37.23138,-2.23935
Benizalón,Almería,Benizalón,37.21213,-2.2418
Bentarique,Almería,Bentarique,36.98823,-2.61991
Berja,Almería,Berja,36.844738,-2.94636
Canjáyar,Almería,Canjáyar,37.00985,-2.740139
Cantoria,Almería,Cantoria,37.351722,-2.193388
Carboneras,Almería,Carboneras,36.999559,-1.893074
Castro de Filabres,Almería,Castro de Filabres,37.18484,-2.44024
Chercos,Almería,Chercos,37.2545,-2.26657
Chirivel,Almería,Chirivel,37.596309,-2.271043
Cóbdar,Almería,Cóbdar,37.26166,-2.21098
Cuevas del Almanzora,Almería,Cuevas del Almanzora,37.295319,-1.877738
Dalías,Almería,Dalías,36.820318,-2.87108
Ejido (El),Almería,El Ejido,36.773918,-2.814736
Enix,Almería,Enix,36.87732,-2.6018
Felix,Almería,Felix,36.86911,-2.65845
Fines,Almería,Fines,37.363771,-2.267433
Fiñana,Almería,Fiñana,37.169512,-2.839102
Fondón,Almería,Fondón,36.9802,-2.85957
Gádor,Almería,Gádor,36.952951,-2.491341
Gallardos (Los),Almería,Los Gallardos,37.168106,-1.940568
Garrucha,Almería,Garrucha,37.182789,-1.820321
Gérgal,Almería,Gérgal,37.11886,-2.54012
Huécija,Almería,Huécija,36.96804,-2.6094
Huércal de Almería,Almería,Huércal de Almería,36.880862,-2.441678
Huércal-Overa,Almería,Huércal-Overa,37.395639,-1.945354
Íllar,Almería,Íllar,36.98562,-2.63871
Instinción,Almería,Instinción,36.99344,-2.66046
Laroya,Almería,Laroya,37.29771,-2.33419
Láujar de Andarax,Almería,Láujar de Andarax,36.99416,-2.893955
Líjar,Almería,Líjar,37.29492,-2.21937
Lubrín,Almería,Lubrín,37.21538,-2.06678
Lucainena de las Torres,Almería,Lucainena de las Torres,37.04038,-2.20095
Lúcar,Almería,Lúcar,37.40035,-2.42496
Macael,Almería,Macael,37.335906,-2.290791
María,Almería,María,37.710788,-2.164725
Mojácar,Almería,Mojácar,37.120291,-1.837481
Mojonera (La),Almería,La Mojonera,36.752832,-2.681988
Nacimiento,Almería,Nacimiento,37.10615,-2.64846
Níjar,Almería,Níjar,36.964012,-2.207395
Ohanes,Almería,Ohanes,37.03861,-2.74524
Olula de Castro,Almería,Olula de Castro,37.17475,-2.4743
Olula del Río,Almería,Olula del Río,37.353887,-2.29565
Oria,Almería,Oria,37.48397,-2.295461
Padules,Almería,Padules,36.977131,-2.764865
Partaloa,Almería,Partaloa,37.40764,-2.22526
Paterna del Río,Almería,Paterna del Río,37.02222,-2.95343
Pechina,Almería,Pechina,37.34612,-2.57895
