municipio,provincia,codigo_ine,municipio_nombre_humano,renta_bruta_media
Algámitas,Sevilla,41008,Algámitas,15109
Algar,Cádiz,11003,Algar,17799
Algar de Mesa,Guadalajara,19016,Algar de Mesa,-
Algar de Palancia,Valencia,46028,Algar de Palancia,-
Algarinejo,Granada,18012,Algarinejo,12970
Algarra,Cuenca,16013,Algarra,-
Algarrobo,Málaga,29005,Algarrobo,19033
Algatocín,Málaga,29006,Algatocín,-
Algeciras,Cádiz,11004,Algeciras,28887
Algemesí,Valencia,46029,Algemesí,22755
Algerri,Lleida,25015,Algerri,-
Algete,Madrid,28009,Algete,41132
Algímia d'Alfara,Valencia,46030,Algímia d'Alfara,23268
Algimia de Almonacid,Castellón,12008,Algimia de Almonacid,-
Alginet,Valencia,46031,Alginet,21863
Algodonales,Cádiz,11005,Algodonales,18041
Algodre,Zamora,49006,Algodre,-
Algora,Guadalajara,19017,Algora,-
Algorfa,Alicante,3012,Algorfa,17986
Alguaire,Lleida,25016,Alguaire,24380
Alguazas,Murcia,30007,Alguazas,20471
Algueña,Alicante,3013,Algueña,20186
Alhabia,Almería,4010,Alhabia,-
Alhama de Almería,Almería,4011,Alhama de Almería,18408
Alhama de Aragón,Zaragoza,50020,Alhama de Aragón,18847
Alhama de Granada,Granada,18013,Alhama de Granada,16990
Alhama de Murcia,Murcia,30008,Alhama de Murcia,22669
Alhambra,Ciudad Real,13010,Alhambra,14722
Alhaurín de la Torre,Málaga,29007,Alhaurín de la Torre,27028
Alhaurín el Grande,Málaga,29008,Alhaurín el Grande,19972
Alhendín,Granada,18014,Alhendín,23279
Alhóndiga,Guadalajara,19018,Alhóndiga,-
Alía,Cáceres,10017,Alía,-
Aliaga,Teruel,44017,Aliaga,-
Aliaguilla,Cuenca,16014,Aliaguilla,-
Alicante/Alacant,Alicante,3014,Alicante/Alacant,28044
Alicún,Almería,4012,Alicún,-
Alicún de Ortega,Granada,18015,Alicún de Ortega,-
Alija del Infantado,León,24003,Alija del Infantado,-
Alins,Lleida,25017,Alins,-
Alió,Tarragona,43010,Alió,-
Alique,Guadalajara,19019,Alique,-
Aliseda,Cáceres,10018,Aliseda,15267
Aliud,Soria,42016,Aliud,-
Aljaraque,Huelva,21002,Aljaraque,30121
Aljucén,Badajoz,6009,Aljucén,-
Alkiza,Gipuzkoa,20006,Alkiza,47954
Allande,Asturias,33001,Allande,17474
Allariz,Ourense,32001,Allariz,22594
Allepuz,Teruel,44021,Allepuz,-
Aller,Asturias,33002,Aller,26506
Allín/Allin,Navarra,31011,Allín/Allin,20764
Allo,Navarra,31012,Allo,18242
Alloza,Teruel,44022,Alloza,-
Allueva,Teruel,44023,Allueva,-
Almacelles,Lleida,25019,Almacelles,25582
Almáchar,Málaga,29009,Almáchar,13868
Almadén,Ciudad Real,13011,Almadén,20758
Almadén de la Plata,Sevilla,41009,Almadén de la Plata,17039
Almadenejos,Ciudad Real,13012,Almadenejos,-
Almadrones,Guadalajara,19020,Almadrones,-
Almagro,Ciudad Real,13013,Almagro,22425
Almajano,Soria,42017,Almajano,-
Almaluez,Soria,42018,Almaluez,-
Almansa,Albacete,2009,Almansa,23607
Almanza,León,24004,Almanza,-
Almaraz,Cáceres,10019,Almaraz,25252
Almaraz de Duero,Zamora,49007,Almaraz de Duero,-
Almarcha (La),Cuenca,16015,La Almarcha,-
Almargen,Málaga,29010,Almargen,19415
Almarza,Soria,42019,Almarza,-
Almarza de Cameros,La Rioja,26012,Almarza de Cameros,-
Almàssera,Valencia,46032,Almàssera,25621
Almassora,Castellón,12009,Almassora,23817
Almatret,Lleida,25020,Almatret,-
Almazán,Soria,42020,Almazán,22877
Almazul,Soria,42021,Almazul,-
Almedíjar,Castellón,12010,Almedíjar,-
Almedina,Ciudad Real,13014,Almedina,-
Almedinilla,Córdoba,14004,Almedinilla,14908
Almegíjar,Granada,18016,Almegíjar,-
Almeida de Sayago,Zamora,49008,Almeida de Sayago,-
Almenar,Lleida,25021,Almenar,23444
Almenar de Soria,Soria,42022,Almenar de Soria,-
Almenara,Castellón,12011,Almenara,22807
Almenara de Adaja,Valladolid,47008,Almenara de Adaja,-
Almenara de Tormes,Salamanca,37027,Almenara de Tormes,-
Almendra,Salamanca,37028,Almendra,-
Almendral,Badajoz,6010,Almendral,15916
Almendral de la Cañada,Toledo,45011,Almendral de la Cañada,-
Almendralejo,Badajoz,6011,Almendralejo,21111
Almendro (El),Huelva,21003,El Almendro,-
Almendros,Cuenca,16016,Almendros,-
Almensilla,Sevilla,41010,Almensilla,23352
Almería,Almería,4013,Almería,25682
Almiserà,Valencia,46033,Almiserà,-
Almochuel,Zaragoza,50021,Almochuel,-
Almócita,Almería,4014,Almócita,-
Almodóvar del Campo,Ciudad Real,13015,Almodóvar del Campo,24224
Almodóvar del Pinar,Cuenca,16017,Almodóvar del Pinar,-
Almodóvar del Río,Córdoba,14005,Almodóvar del Río,17653
Almogía,Málaga,29011,Almogía,16944
