municipio,provincia,municipio_nombre_humano,lat,lon,top_3_sitios,sitio_mas_frecuente
Campello (El),Alicante,El Campello,38.428712,-0.400416,leisure;building;service,leisure
Campo de Mirra/Camp de Mirra (El),Alicante,El Campo de Mirra/Camp de Mirra,38.70001,-0.79462,leisure;natural;sport,leisure
Cañada,Alicante,Cañada,38.39711,-0.5831,leisure;service;sport,leisure
Castalla,Alicante,Castalla,38.599887,-0.667946,sport;service;commercial,sport
Castell de Castells,Alicante,Castell de Castells,38.735695,-0.187075,natural;catering;access_limited,natural
Castell de Guadalest (El),Alicante,El Castell de Guadalest,38.6768,-0.19908,building;tourism;catering,building
Catral,Alicante,Catral,38.16056,-0.802149,catering;service;commercial,catering
Cocentaina,Alicante,Cocentaina,38.754923,-0.441782,sport;natural,sport
Confrides,Alicante,Confrides,38.68451,-0.2689,natural;sport;leisure,natural
Cox,Alicante,Cox,38.141697,-0.887969,leisure;building;sport,leisure
Crevillent,Alicante,Crevillent,38.247745,-0.814187,leisure;natural;commercial,leisure
Daya Nueva,Alicante,Daya Nueva,38.113322,-0.761471,leisure;sport;service,leisure
Daya Vieja,Alicante,Daya Vieja,38.1048,-0.73804,leisure;natural;catering,leisure
Dénia,Alicante,Dénia,38.840863,0.103315,catering;commercial;tourism,catering
Dolores,Alicante,Dolores,38.139232,-0.769951,catering;commercial;leisure,catering
Elche/Elx,Alicante,Elche/Elx,38.262084,-0.700594,leisure;commercial;catering,leisure
Elda,Alicante,Elda,38.47616,-0.795528,leisure;tourism;service,leisure
Facheca,Alicante,Facheca,38.735,-0.26766,natural;leisure;sport,natural
Famorca,Alicante,Famorca,38.73101,-0.24726,natural;leisure;sport,natural
Finestrat,Alicante,Finestrat,38.5671,-0.212203,commercial;catering;service,commercial
Fondó de les Neus (El)/Hondón de las Nieves,Alicante,El Fondó de les Neus/Hondón de las Nieves,38.308625,-0.851245,sport;natural;leisure,sport
Formentera del Segura,Alicante,Formentera del Segura,38.084955,-0.745611,commercial;catering;leisure,commercial
Gaianes,Alicante,Gaianes,38.8164,-0.40881,sport;natural;building,sport
Gata de Gorgos,Alicante,Gata de Gorgos,38.774048,0.083486,commercial;catering;tourism,commercial
Gorga,Alicante,Gorga,38.71896,-0.35589,access_limited;sport;access,access_limited
Granja de Rocamora,Alicante,Granja de Rocamora,38.15353,-0.892395,leisure;commercial;service,leisure
Guardamar del Segura,Alicante,Guardamar del Segura,38.090032,-0.658152,building;commercial;tourism,building
Hondón de los Frailes,Alicante,Hondón de los Frailes,38.273571,-0.926858,catering;commercial;building,catering
Ibi,Alicante,Ibi,38.618356,-0.580273,leisure;building;catering,leisure
Jacarilla,Alicante,Jacarilla,38.060975,-0.867996,leisure;catering;service,leisure
Jávea/Xàbia,Alicante,Jávea/Xàbia,38.785694,0.150464,sport;building;tourism,sport
Jijona/Xixona,Alicante,Jijona/Xixona,38.532651,-0.506731,sport;natural;building,sport
Llíber,Alicante,Llíber,38.74272,-0.006,sport;building;tourism,sport
Lorcha/Orxa (L'),Alicante,L' Lorcha/Orxa,38.360892,-0.486281,commercial;catering;sport,commercial
Millena,Alicante,Millena,38.73082,-0.36274,access_limited;sport;leisure,access_limited
Monforte del Cid,Alicante,Monforte del Cid,38.379799,-0.722666,sport;commercial;leisure,sport
Monóvar/Monòver,Alicante,Monóvar/Monòver,38.436388,-0.840944,leisure;commercial;building,leisure
Montesinos (Los),Alicante,Los Montesinos,38.027433,-0.745376,catering;commercial;service,catering
Murla,Alicante,Murla,38.76037,-0.08208,sport;natural;catering,sport
Muro de Alcoy,Alicante,Muro de Alcoy,38.780312,-0.440017,leisure;sport;service,leisure
Mutxamel,Alicante,Mutxamel,38.407895,-0.448889,sport;leisure;commercial,sport
Novelda,Alicante,Novelda,38.385706,-0.768862,commercial;catering;leisure,commercial
Nucia (La),Alicante,La Nucia,38.599959,-0.132423,sport;commercial;service,sport
Ondara,Alicante,Ondara,38.824783,0.020541,commercial;catering;sport,commercial
Onil,Alicante,Onil,38.628054,-0.675278,natural;leisure;catering,natural
Orba,Alicante,Orba,38.780068,-0.058304,sport;catering,sport
