municipio,provincia,municipio_nombre_humano,codigo_INE,lat,lon
Utrillas,Teruel,Utrillas,44238,40.81223,-0.847466
Uztárroz/Uztarroze,Navarra,Uztárroz/Uztarroze,31247,42.88395,-0.92689
Vacarisses,Barcelona,Vacarisses,8291,41.6,1.91667
Vadillo,Soria,Vadillo,42190,41.79111,-3.00845
Vadillo de la Guareña,Zamora,Vadillo de la Guareña,49226,41.28242,-5.353
Vadillo de la Sierra,Ávila,Vadillo de la Sierra,5251,40.60634,-5.12506
Vadocondes,Burgos,Vadocondes,9400,41.63924,-3.57378
Vajol (La),Girona,La Vajol,17014,42.4038,2.80016
Val de San Lorenzo,León,Val de San Lorenzo,24185,42.417405,-6.123137
Val de San Martín,Zaragoza,Val de San Martín,50274,41.05787,-1.44934
Val de San Vicente,Cantabria,Val de San Vicente,39095,43.375968,-4.504072
Val do Dubra,A Coruña,Val do Dubra,15088,43.024957,-8.65486
Valacloche,Teruel,Valacloche,44239,40.19092,-1.09134
Valadouro (O),Lugo,O Valadouro,27063,43.55,-7.45
Valbona,Teruel,Valbona,44240,40.22877,-0.81079
Valbuena de Duero,Valladolid,Valbuena de Duero,47179,41.64323,-4.29271
Valbuena de Pisuerga,Palencia,Valbuena de Pisuerga,34186,42.14584,-4.2401
Valcabado,Zamora,Valcabado,49227,41.54862,-5.74916
Valdáliga,Cantabria,Valdáliga,39091,43.317042,-4.303817
Valdaracete,Madrid,Valdaracete,28155,40.210551,-3.195695
Valdarachas,Guadalajara,Valdarachas,19297,40.5171,-3.12652
Valdastillas,Cáceres,Valdastillas,10196,40.13293,-5.87932
Valde-Ucieza,Palencia,Valde-Ucieza,34192,42.40008,-4.57546
Valdealgorfa,Teruel,Valdealgorfa,44241,40.99066,-0.03433
Valdeande,Burgos,Valdeande,9403,41.83302,-3.52792
Valdearcos de la Vega,Valladolid,Valdearcos de la Vega,47180,41.6426,-4.04845
Valdearenas,Guadalajara,Valdearenas,19298,40.80939,-2.99218
Valdeavellano,Guadalajara,Valdeavellano,19299,40.6656,-2.96977
Valdeavellano de Tera,Soria,Valdeavellano de Tera,42191,41.94229,-2.57634
Valdeavero,Madrid,Valdeavero,28156,40.6298,-3.33001
Valdeaveruelo,Guadalajara,Valdeaveruelo,19300,40.644956,-3.297835
Valdecaballeros,Badajoz,Valdecaballeros,6137,39.24786,-5.197937
Valdecañas de Tajo,Cáceres,Valdecañas de Tajo,10197,39.75919,-5.61952
Valdecarros,Salamanca,Valdecarros,37330,40.770144,-5.422169
Valdecasa,Ávila,Valdecasa,5252,40.65931,-5.01183
Valdecolmenas (Los),Cuenca,Los Valdecolmenas,16906,40.109988,-2.470088
Valdeconcha,Guadalajara,Valdeconcha,19301,40.45642,-2.87662
Valdecuenca,Teruel,Valdecuenca,44243,40.29776,-1.40829
Valdefinjas,Zamora,Valdefinjas,49228,41.45172,-5.45232
Valdefresno,León,Valdefresno,24175,42.59492,-5.49355
Valdefuentes,Cáceres,Valdefuentes,10198,39.276366,-6.124788
Valdefuentes de Sangusín,Salamanca,Valdefuentes de Sangusín,37331,40.46578,-5.83286
Valdefuentes del Páramo,León,Valdefuentes del Páramo,24176,42.323902,-5.830153
Valdeganga,Albacete,Valdeganga,2075,39.134507,-1.677173
Valdegeña,Soria,Valdegeña,42192,41.81868,-2.16381
Valdegovía/Gaubea,Álava,Valdegovía/Gaubea,1055,42.84777,-3.09883
Valdegrudas,Guadalajara,Valdegrudas,19302,40.71125,-3.01209
Valdehijaderos,Salamanca,Valdehijaderos,37332,40.41916,-5.84792
Valdehorna,Zaragoza,Valdehorna,50273,41.07275,-1.42376
Valdehúncar,Cáceres,Valdehúncar,10199,39.83659,-5.52307
Valdelacalzada,Badajoz,Valdelacalzada,6901,38.888955,-6.701348
Valdelacasa,Salamanca,Valdelacasa,37333,40.51058,-5.765011
Valdelacasa de Tajo,Cáceres,Valdelacasa de Tajo,10200,39.726541,-5.281909
Valdelageve,Salamanca,Valdelageve,37334,40.36949,-5.99078
Valdelagua del Cerro,Soria,Valdelagua del Cerro,42193,41.88825,-2.11538
Valdelaguna,Madrid,Valdelaguna,28157,40.160884,-3.367375
